,256GB 12GB RAM,Dimensions,Camera,_4,Phonebook,Model Image,Type_1,Build,Penta,_1,Battery (old),Model Name,Loudspeaker_1,Messaging,Card slot,Brand,Speed,EDGE,SAR,Quad,Sensors,Video_1,Charging,_2,GPU,Announced,CPU,Positioning,Technology,Loudspeaker,SIM,_3,2G bands,3.5mm jack,Video,NFC,Triple,4G bands,Features,Java,Features_1,Price,Display,Single_1,Type,256GB 8GB RAM,Games,Chipset,WLAN,Call records,3G bands,Size,Single,Protection,Bluetooth,Radio,USB,Dual,Status,Internal,Performance,OS,256GB 6GB RAM,Colors,Audio quality,Battery (new),5G bands,512GB 12GB RAM,GPRS,Weight,Infrared port,Resolution
CDMA 800 / 1900 & TD-SCDMA,,163.8 x 81.6 x 14.2 mm (6.45 x 3.21 x 0.56 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-11-5g.jpg,Li-Po 5200 mAh,"Front glass, aluminum back with rubber, aluminum frame","48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF13 MP, f/2.4, 125˚ (ultrawide)20 MP, f/1.8, (night vision), 1/2.78"", 1.0µm2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",CDMA2000 1xEV-DO,,Ulefone Armor 11 5G,,,No,Ulefone,"HSPA, LTE, 5G",,,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, baroceptor",1080p@30fps,18W wired10W wireless,IP68 dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.2mMIL-STD-810G compliant,Mali-G57 MP4,"2021, February 18",Octa-core (4x2.0 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS",GSM / CDMA / HSPA / EVDO / LTE / 5G,Yes,Nano-SIM + Nano-SIM,UFS 2.1,GSM 850 / 900 / 1800 / 1900,Yes,"4K@30fps, 1080p@30fps",Yes,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66","Dual-LED dual-tone flash, HDR, panorama",,"HDR, panorama",About 480 EUR,,,IPS LCD,,,Mediatek Dimensity 800 (7 nm),"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"6.1 inches, 91.3 cm2(~68.3% screen-to-body ratio)","16 MP, f/2.0",Oleophobic coating,"5.0, A2DP, LE","FM radio, RDS, recording","USB Type-C 2.0, OTG",,"Available. Released 2021, March 08",256GB 8GB RAM,,"Android 10, planned upgrade to Android 11",,Black,,,"1, 3, 5, 8, 20, 28, 38, 41, 77, 78, 79 SA/NSA",,,295 g (10.41 oz),,"720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)"
24-bit/192kHz Hi-Res audio,,166.9 x 77.2 x 10 mm (6.57 x 3.04 x 0.39 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-note-11p.jpg,Li-Po 4500 mAh,"Glass front, plastic back, plastic frame",,,,Ulefone Note 11P,,,microSDXC (dedicated slot),Ulefone,"HSPA, LTE",,,"48 MP, f/1.8, (wide), PDAF8 MP, f/2.2, (ultrawide)2 MP, f/2.6, (macro)2 MP, f/2.4, (depth)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",1080p@30fps,10W wired,,Mali-G72 MP3,"2021, January 09",Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),"GPS, GLONASS, BDS, GALILEO",GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 28",Dual-LED flash,,,About 160 EUR,,,IPS LCD,,,Mediatek MT6771 Helio P60 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"6.55 inches, 103.6 cm2(~80.4% screen-to-body ratio)","8 MP, f/1.8",,"5.0, A2DP, LE",FM radio,"USB Type-C 2.0, OTG",,"Available. Released 2021, March 08",128GB 8GB RAM,,Android 11,,"Black, Red, Green",,,,,,184 g (6.49 oz),,"720 x 1600 pixels, 20:9 ratio (~268 ppi density)"
eMMC 5.1,,165.2 x 76.7 x 9.7 mm (6.50 x 3.02 x 0.38 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-note10.jpg,Li-Ion 5500 mAh,"Plastic frame, plastic back",,,,Ulefone Note 10,,,microSDXC (dedicated slot),Ulefone,"HSPA, LTE",,,,"Fingerprint (rear-mounted), accelerometer, proximity",,10W wired,,IMG8322,"2021, January 21",Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),GPS,GSM / HSPA / LTE,Yes,Nano-SIM + Micro-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,"8 MP, f/2.0, AF5 MP, (macro)2 MP, (depth)","1, 3, 5, 7, 8, 20",LED flash,,,About 120 EUR,,,IPS LCD,,,Unisoc SC9863A (28 nm),Wi-Fi 802.11 b/g/n,,HSDPA 850 / 900 / 2100,"6.52 inches, 102.6 cm2(~81.0% screen-to-body ratio)","8 MP, f/2.0",,"4.2, A2DP",Unspecified,"microUSB 2.0, OTG",,"Available. Released 2021, January 21",32GB 2GB RAM,,Android 11 (Go edition),,"Black, Red, Aurora Green",,,,,,203 g (7.16 oz),,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)"
IP68/IP69K water resistant (up to 1.5m for 30 min)Drop resistant up to 1.2mFlashlightMIL-STD-810G compliant**does not guarantee ruggedness or use in extreme conditions,,138 x 62.5 x 16.6 mm (5.43 x 2.46 x 0.65 in),,,Yes,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-mini2-01.jpg,"Li-Ion 2100 mAh, removable",,,eMMC,,Ulefone Armor Mini 2,,SMS,microSDHC (dedicated slot),Ulefone,,Yes,,,No,,,No,,"2021, January 18",,No,GSM,Yes,Dual SIM,MP4 playerMP3/WAV/AAC playerOrganizer,GSM 850 / 900 / 1800 / 1900,Yes,Yes,No,,,LED flash,No,,About 40 EUR,,,"TFT LCD, 256K colors",,No,Mediatek MT6261D,No,Yes,,"2.4 inches, 17.8 cm2(~20.7% screen-to-body ratio)",0.3 MP,Scratch-proof glass,2.4,"FM radio, built-in antenna",microUSB 2.0,,"Available. Released 2021, January 29",4MB 4MB RAM,,,,"Dark Gray, Camouflage",,,,,Yes,158 g (5.57 oz),,"240 x 320 pixels, 4:3 ratio (~167 ppi density)"
eMMC 5.1,,156.1 x 73.7 x 9.7 mm (6.15 x 2.90 x 0.38 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-note-7t.jpg,Li-Ion 3500 mAh,,,,,Ulefone Note 7T,,,microSDXC (dedicated slot),Ulefone,"HSPA 42.2/11.5 Mbps, LTE Cat7 300/150 Mbps",,0.67 W/kg (head)     0.59 W/kg (body),,"Accelerometer, proximity",,,,PowerVR GE8320,"2020, November 12",Octa-core 2.0 GHz Cortex-A53,"GPS, GLONASS",GSM / HSPA / LTE,Yes,Dual SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,"8 MP, f/2.0, (wide)2 MP2 MP","1, 3, 5, 7, 8, 20",LED flash,,,,,,IPS LCD,,,Mediatek MT6761 Helio A22 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 850 / 900 / 2100,"6.1 inches, 92.3 cm2(~80.2% screen-to-body ratio)","5 MP, f/2.2",,"5.0, A2DP, LE","Stereo FM radio, RDS, recording",microUSB 2.0,,"Available. Released 2020, November 12",16GB 2GB RAM,,Android 10,,"Twilight, Black, Midnight Green",,,,,,177.5 g (6.28 oz),,600 x 1280 pixels (~232 ppi density)
CDMA 800 / 1900 & TD-SCDMA,,176.5 x 82.8 x 14.6 mm (6.95 x 3.26 x 0.57 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-10-5g.jpg,Li-Po 5800 mAh,"Front glass, aluminum back with rubber, aluminum frame",,CDMA2000 1xEV-DO,,Ulefone Armor 10 5G,,,microSDXC (uses shared SIM slot),Ulefone,"HSPA, LTE, 5G",,,"64 MP, f/1.9, 26mm (wide), 1/1.72"", 0.8µm, PDAF8 MP, f/2.2, 119˚ (ultrawide)5 MP, f/2.8, (macro)2 MP, f/2.2, (depth)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, baroceptor, coulombmeter",1080p@30fps,15W wired15W wireless,IP68 dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.2mMIL-STD-810G compliant,Mali-G57 MP4,"2020, November 17",Octa-core (4x2.0 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS",GSM / CDMA / HSPA / EVDO / LTE / 5G,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,"4K@30fps, 1080p@30fps",Yes,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66","LED flash, Panorama, HDR",,,About 420 EUR,,,IPS LCD,,,Mediatek Dimensity 800 (7 nm),"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"6.67 inches, 107.4 cm2(~73.5% screen-to-body ratio)","16 MP, f/2.2","Scratch-resistant glass, oleophobic coating","5.2, A2DP, LE","FM radio, RDS, recording","USB Type-C 2.0, OTG",,"Available. Released 2020, December 07",128GB 8GB RAM,,"Android 10, planned upgrade to Android 11",,Black,,,"1, 3, 41, 77, 78, 79 SA/NSA",,,328 g (11.57 oz),,"1080 x 2400 pixels, 20:9 ratio (~395 ppi density)"
"50m water resistant, 5ATM (up to 10 min)",,48.7 x 36.1 x 12.2 mm (1.92 x 1.42 x 0.48 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-watch-pro.jpg,Li-Ion 210 mAh,"Glass front, plastic back, plastic frame",,No,,Ulefone Watch Pro,,,No,Ulefone,No,No,,,"Accelerometer, gyro, heart rate, SpO2",,Wireless,,,"2020, October 27",,No,No cellular connectivity,No,No,,N/A,No,,No,,N/A,,,,About 50 EUR,,,TFT LCD,,,,No,,N/A,1.55 inches,,,"5.2, A2DP, LE",No,No,,"Available. Released 2020, October 27",,,Proprietary OS,,"Black, Gray, Pink",,,,,No,40 g (1.41 oz),,320 x 360 pixels (~311 ppi density)
"50m water resistant, 5ATM (up to 10 min)",,42 x 37 x 12 mm (1.65 x 1.46 x 0.47 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-watch-gps.jpg,Li-Ion 210 mAh,"Glass front, plastic back, plastic frame",,No,,Ulefone Watch GPS,,,No,Ulefone,No,No,,,"Accelerometer, gyro, heart rate",,Wireless,,,"2020, October 27",,GPS,No cellular connectivity,No,No,,N/A,No,,No,,N/A,,,,About 40 EUR,,,TFT LCD,,,,No,,N/A,1.3 inches,,,"5.0, A2DP, LE",No,No,,"Available. Released 2020, October 27",,,Proprietary OS,,"Black/Green, Black/Red, Pink/Blue",,,,,No,35 g (1.23 oz),,240 x 240 pixels (~261 ppi density)
"50m water resistant, 5ATM (up to 10 min)",,42 x 37 x 12 mm (1.65 x 1.46 x 0.47 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-watch.jpg,Li-Ion 210 mAh,"Glass front, plastic back, plastic frame",,No,,Ulefone Watch,,,No,Ulefone,No,No,,,"Accelerometer, gyro, heart rate",,Wireless,,,"2020, October 27",,No,No cellular connectivity,No,No,,N/A,No,,No,,N/A,,,,About 30 EUR,,,TFT LCD,,,,No,,N/A,1.3 inches,,,"5.0, A2DP, LE",No,No,,"Available. Released 2020, October 27",,,Proprietary OS,,"Black, Coral Pink, Turquoise",,,,,No,35 g (1.23 oz),,240 x 240 pixels (~261 ppi density)
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.2mMIL-STD-810G compliant,,160.3 x 79 x 13.8 mm (6.31 x 3.11 x 0.54 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-x8.jpg,Li-Po 5080 mAh,,,eMMC 5.1,,Ulefone Armor X8,,,microSDXC (uses shared SIM slot),Ulefone,"HSPA 42.2/11.5 Mbps, LTE Cat6 300/150 Mbps",,,,"Fingerprint (rear-mounted), accelerometer, proximity, compass",1080p@30fps,,,PowerVR GE8320,"2020, October 06",Octa-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,Yes,"13 MP, f/2.2, (wide), AF2 MP, (depth)2 MP, (depth)","1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 28","Dual-LED flash, HDR, panorama",,,About 130 EUR,,,IPS LCD,,,Mediatek MT6762D Helio A25 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"5.7 inches, 83.8 cm2(~66.2% screen-to-body ratio)","8 MP, f/2.4",,"5.0, A2DP, LE",,USB Type-C 2.0,,"Available. Released 2020, October 06",64GB 4GB RAM,,Android 10,,"Black, Orange",,,,,,256.3 g (9.03 oz),,"720 x 1440 pixels, 18:9 ratio (~282 ppi density)"
CDMA 800 / 1900,,168.2 x 82 x 15 mm (6.62 x 3.23 x 0.59 in),,Endoscope mount (camera sold separately),,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-9e.jpg,Li-Po 6600 mAh,"Front glass, aluminum back with rubber, aluminum frame",,CDMA2000 1xEV-DO,,Ulefone Armor 9E,,,microSDXC (uses shared SIM slot),Ulefone,"HSPA 42.2/11.5 Mbps, LTE Cat12 600/150 Mbps",,,"64 MP, f/1.9, 26mm (wide), 1/1.72"", 0.8µm, PDAF8 MP, f/2.4, 100˚ (ultrawide), 1/4.0"", 1.12µm2 MP, f/2.2, (macro)2 MP, f/2.2, (depth)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, coulombmeter",1080p@30fps,18W wired,IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.2mMIL-STD-810G compliant,PowerVR GM9446,"2020, September 08",Octa-core (2x2.2 GHz Cortex-A75 & 6x2.0 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS",GSM / CDMA / HSPA / EVDO / LTE,Yes,Nano-SIM + Nano-SIM,UFS 2.1,GSM 850 / 900 / 1800 / 1900,Yes,"4K@30fps, 1080p@30fps",Yes,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66","Quad-LED flash, HDR, panorama",,"HDR, panorama",About 290 EUR,,,IPS LCD,,,Mediatek MT6779 Helio P90 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"6.3 inches, 97.4 cm2(~70.6% screen-to-body ratio)","8 MP, f/2.2","Scratch-resistant glass, oleophobic coating","5.0, A2DP, LE","FM radio, RDS, recording","USB Type-C 2.0, OTG, accessory connector",,"Available. Released 2020, September 08",128GB 8GB RAM,,Android 10,,Black,,,,,,324 g (11.43 oz),,"1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)"
IP68 dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.2mMIL-STD-810G compliant,,158 x 77.5 x 13.9 mm (6.22 x 3.05 x 0.55 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-x5-pro.jpg,Li-Po 5000 mAh,,,eMMC 5.1,,Ulefone Armor X5 Pro,,,microSDXC (uses shared SIM slot),Ulefone,"HSPA 42.2/11.5 Mbps, LTE Cat7 300/150 Mbps",,,,"Accelerometer, proximity, compass",,10W wired,,PowerVR GE8320,"2020, September 08",Octa-core 2.0 GHz Cortex-A53,"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 28","LED flash, Panorama, HDR",,,About 110 EUR,,,IPS LCD,,,Mediatek MT6762V/WD Helio P22 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"5.5 inches, 78.1 cm2(~63.8% screen-to-body ratio)","5 MP, f/2.2",,"5.0, A2DP, LE","FM radio, RDS, recording",microUSB 2.0,"13 MP, f/2.0, (wide), PDAF2 MP, (depth)","Available. Released 2020, September 08",64GB 4GB RAM,,Android 10,,"Black, Orange, Red",,,,,,235 g (8.29 oz),,"720 x 1440 pixels, 18:9 ratio (~293 ppi density)"
eMMC 5.1,,141.7 x 66.5 x 12 mm (5.58 x 2.62 x 0.47 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-note-8.jpg,Li-Ion 2700 mAh,,,,,Ulefone Note 8,,,microSDXC (dedicated slot),Ulefone,HSPA 21.1/5.76 Mbps,,,,Accelerometer,,,,Mali-400,"2020, August 28",Quad-core 1.3 GHz Cortex-A7,GPS,GSM / HSPA,Yes,Dual SIM,,GSM 850 / 900 / 1800 / 1900,Yes,720p@30fps,No,,,"LED flash, HDR",,,About 70 EUR,,,IPS LCD,,,Mediatek MT6580 (28 nm),Wi-Fi 802.11 b/g/n,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"5.5 inches, 74.1 cm2(~78.7% screen-to-body ratio)",2 MP,,"4.2, A2DP","Stereo FM radio, RDS, recording",microUSB 2.0,"5 MP, f/2.82 MP","Available. Released 2020, August 28",16GB 2GB RAM,,Android 10 (Go edition),,"Black, Amber Sunrise, Midnight Green",,,,,,153 g (5.40 oz),,"442 x 960 pixels, 19.5:9 ratio (~192 ppi density)"
IP68 dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.2mMIL-STD-810G compliant,,166 x 81.8 x 15 mm (6.54 x 3.22 x 0.59 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-8.jpg,Li-Po 5580 mAh,"Front glass, aluminum back with rubber, aluminum frame",,eMMC 5.1,,Ulefone Armor 8,,,microSDXC (uses shared SIM slot),Ulefone,"HSPA 42.2/11.5 Mbps, LTE Cat7 300/150 Mbps",,,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, baroceptor, coulombmeter",1080p@30fps,15W wired,,Mali-G72 MP3,"2020, August 17",Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,Yes,"16 MP, f/2.2, (wide), PDAF5 MP, f/2.4, (macro)2 MP, f/2.2, (depth)","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 28, 66","LED flash, Panorama, HDR",,,About 200 EUR,,,IPS LCD,,,Mediatek MT6771 Helio P60 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"6.1 inches, 91.3 cm2(~67.3% screen-to-body ratio)","8 MP, f/2.2","Scratch-resistant glass, oleophobic coating","4.2, A2DP, LE","FM radio, RDS, recording","USB Type-C 2.0, OTG",,"Available. Released 2020, August 17",64GB 4GB RAM,,Android 10,,"Black, Orange, Red",,,,,,282 g (9.95 oz),,"720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)"
eMMC 5.1,,166 x 76.7 x 9.2 mm (6.54 x 3.02 x 0.36 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-note-9p.jpg,Li-Po 4500 mAh,,,,,Ulefone Note 9P,,,microSDXC (dedicated slot),Ulefone,"HSPA 42.2/11.5 Mbps, LTE Cat7 300/150 Mbps",,0.29 W/kg (head)     1.01 W/kg (body),,"Fingerprint (rear-mounted), accelerometer, proximity, compass",720p@30fps,10W wiredReverse wired,,PowerVR GE8320,"2020, July 27",Octa-core (4x1.8 GHz & 4x1.5 GHz),"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,"16 MP, f/2.2, AF5 MP, (macro)2 MP, (depth)","1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 28","Dual-LED flash, HDR",,,About 120 EUR,,,IPS LCD,,,Mediatek MT6762 Helio P22 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"6.52 inches, 102.6 cm2(~80.6% screen-to-body ratio)","8 MP, f/2.2",,"5.0, A2DP, LE","Stereo FM radio, RDS, recording","USB Type-C 2.0, OTG",,"Available. Released 2020, July 27",64GB 4GB RAM,,Android 10,,"Aurora Blue, Midnight Green, Black",,,,,,188 g (6.63 oz),,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)"
CDMA 800 / 1900,,168.2 x 82 x 15 mm (6.62 x 3.23 x 0.59 in),Photo/Video,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-9.jpg,Li-Po 6600 mAh,"Front glass, aluminum back with rubber, aluminum frame",,CDMA2000 1xEV-DO,Endurance rating 148h,Ulefone Armor 9,-30.1 LUFS (Below average),,microSDXC (uses shared SIM slot),Ulefone,"HSPA 42.2/11.5 Mbps, LTE Cat12 600/150 Mbps",,,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, baroceptor, coulombmeter",1080p@30fps,18W wired,IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.2mMIL-STD-810G compliant,PowerVR GM9446,"2020, June 29",Octa-core (2x2.2 GHz Cortex-A75 & 6x2.0 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS",GSM / CDMA / HSPA / EVDO / LTE,Yes,Nano-SIM + Nano-SIM,UFS 2.1,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,Yes,"64 MP, f/1.9, 26mm (wide), 1/1.72"", 0.8µm, PDAF2 MP, f/2.2, (depth)FLIR thermal camera (Lepton module)","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66","Thermal imaging, heat palettes, temp. spot meter, quad-LED flash, panorama",,,About 550 EUR,Contrast ratio: 1541:1 (nominal),,IPS LCD,,,Mediatek MT6779 Helio P90 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"6.3 inches, 97.4 cm2(~70.6% screen-to-body ratio)","8 MP, f/2.2","Scratch-resistant glass, oleophobic coating","5.0, A2DP, LE","FM radio, RDS, recording","USB Type-C 2.0, OTG, accessory connector (endoscope)",,"Available. Released 2020, June 29",128GB 8GB RAM,AnTuTu: 197000 (v8)GeekBench: 1498 (v5.1)GFXBench: 7.9fps (ES 3.1 onscreen),Android 10,,Black,,,,,,320 g (11.29 oz),,"1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)"
eMMC 5.1,,141.7 x 66.5 x 12 mm (5.58 x 2.62 x 0.47 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-note-8p.jpg,Li-Ion 2700 mAh,,,,,Ulefone Note 8P,,,microSDXC (dedicated slot),Ulefone,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,1.11 W/kg (head)     1.11 W/kg (body),,Accelerometer,720p@30fps,,,Mali-T720MP1,"2020, June 08",Quad-core 1.3 GHz Cortex-A53,GPS,GSM / HSPA / LTE,Yes,Nano-SIM + Micro-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,720p@30fps,No,,"1, 3, 7, 8, 20","LED flash, HDR",,,About 70 EUR,,,IPS LCD,,,Mediatek MT6737 (28 nm),"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct",,HSDPA 850 / 900 / 1900 / 2100,"5.5 inches, 74.1 cm2(~78.7% screen-to-body ratio)","5 MP, f/2.2",,"4.2, A2DP, LE","Stereo FM radio, RDS, recording",microUSB 2.0,"8 MP, f/2.0, AF2 MP","Available. Released 2020, June 08",16GB 2GB RAM,,Android 10 (Go edition),,"Black, Amber Sunrise, Midnight Green",,,,,,153 g (5.40 oz),,"442 x 960 pixels, 19.5:9 ratio (~192 ppi density)"
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.2mMIL-STD-810G compliant,,150 x 78.9 x 14.6 mm (5.91 x 3.11 x 0.57 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-x7-pro1.jpg,Li-Po 4000 mAh,,,eMMC 5.1,,Ulefone Armor X7 Pro,,,microSDXC (uses shared SIM slot),Ulefone,"HSPA 42.2/11.5 Mbps, LTE Cat6 300/150 Mbps",,0.80 W/kg (head)     0.79 W/kg (body),,"Fingerprint (rear-mounted), accelerometer, proximity, compass",720p@30fps,,,PowerVR GE8320,"2020, June 08",Quad-core 1.8 GHz Cortex-A53,"GPS, GLONASS, GALILEO",GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,Yes,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20",Dual-LED flash,,,About 110 EUR,,,IPS LCD,,,Mediatek MT6761 Helio A20 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"5.0 inches, 68.9 cm2(~58.2% screen-to-body ratio)","5 MP, f/2.2",,"5.0, A2DP, LE",FM radio,microUSB 2.0,"13 MP, f/2.2, (wide), AF2 MP, (depth)","Available. Released 2020, June 08",32GB 4GB RAM,,Android 10,,"Black, Orange",,,,,,234 g (8.25 oz),,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)"
