,Single_1,Alert types,OS,128GB 12GB RAM,Stand-by_1,3.5mm jack,Loudspeaker_1,Chipset,Call records,Status,Features_1,Display,128GB 8GB RAM,Browser,Talk time,Alarm,32GB 2GB RAM,Clock,_7,64GB 6GB RAM,256GB 8GB RAM,Music play,GPRS,EDGE,Radio,Charging,4G bands,Camera,Stand-by,64GB 4GB RAM,Price,_3,Keyboard,Dual,Single,Talk time_1,2G bands,Resolution,512GB 8GB RAM,128GB 4GB RAM,Announced,Technology,_1,SAR,_6,_8,GPU,Battery (new),Model Image,Size,Model Name,1TB 12GB RAM,64GB 3GB RAM,Phonebook,5G bands,Positioning,128GB 6GB RAM,Type_1,Java,Features,CPU,256GB 4GB RAM,SAR EU,_2,_9,SIM,Triple,Infrared port,Battery (old),16GB 2GB RAM,Card slot,Protection,Messaging,Dimensions,512GB 16GB RAM,Internal,USB,Models,512GB 12GB RAM,Loudspeaker,Bluetooth,_10,Games,Quad,Weight,WLAN,Video,Languages,Speed,Build,NFC,_5,16GB 1.5GB RAM,Brand,32GB 3GB RAM,256GB 12GB RAM,Audio quality,Colors,Type,Performance,Dual_1,3G bands,Video_1,_4,Sensors
"IP68 dust/water resistant (up to 1.5m for 30 min)Stylus, 2.8ms latency (Bluetooth integration, accelerometer, gyro)",,,"Android 13, up to 4 major Android upgrades, One UI 6",,,No,-21.2 LUFS (Excellent),Qualcomm SM8550-AC Snapdragon 8 Gen 2 (4 nm),,"Available. Released 2023, August 11",HDR,642 nits max brightness (measured),,,,,,,,,,,,,No,45W wired,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 32, 38, 40, 41, 66",,,,About 1200 EUR,Wireless Samsung DeX,,"13 MP, f/2.0, 26mm (wide), 1/3.4"", 1.0µm, AF8 MP, f/2.2, (ultrawide)",,,GSM 850 / 900 / 1800 / 1900,"1848 x 2960 pixels, 16:10 ratio (~239 ppi density)",,,"2023, July 26",GSM / HSPA / LTE / 5G,UFS,,,,Adreno 740,Active use score 11:03h,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-s9-ultra-5g.jpg,"14.6 inches, 617.8 cm2(~90.7% screen-to-body ratio)",Samsung Galaxy Tab S9 Ultra,,,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA/Sub6","GPS, GLONASS, BDS, GALILEO - cellular model only",,Li-Po 11200 mAh,,"LED flash, HDR, panorama",Octa-core (1x3.36 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),,0.93 W/kg (body),Tuned by AKG,,Nano-SIM +eSIM(cellular model only),,,,,microSDXC (dedicated slot),Corning Gorilla Glass,,326.4 x 208.6 x 5.5 mm (12.85 x 8.21 x 0.22 in),,"256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM, 1TB 16GB RAM","USB Type-C 3.2, magnetic connector","SM-X910, SM-X916B, SM-X918U",,"Yes, with stereo speakers (4 speakers)","5.3, A2DP, LE",,,,732 g (1.61 lb),"Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct","4K@30fps, 1080p@30fps",,"HSPA, LTE (CA), 5G - cellular model only","Glass front, aluminum frame, aluminum back",No,,,Samsung,,,,"Beige, Graphite","Dynamic AMOLED 2X, 120Hz, HDR10+","AnTuTu: 1199328 (v9), 1533645 (v10)GeekBench: 4835 (v5.5), 5415 (v6.0)GFXBench: 58fps (ES 3.1 onscreen)","12 MP, f/2.2, 26mm (wide)12 MP, f/2.4, 120˚ (ultrawide)",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"4K@30fps, 1080p@30fps",,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass"
"IP68 dust/water resistant (up to 1.5m for 30 min)Stylus, 2.8ms latency (Bluetooth integration, accelerometer, gyro)",,,"Android 13, up to 4 major Android upgrades, One UI 6",,,No,,Qualcomm SM8550-AC Snapdragon 8 Gen 2 (4 nm),,"Available. Released 2023, August 11",HDR,,,,,,,,,,,,,,No,45W wired,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 32, 38, 40, 41, 66",,,,About 1000 EUR,Wireless Samsung DeX,,"13 MP, f/2.0, 26mm (wide), 1/3.4"", 1.0µm, AF8 MP, f/2.2, (ultrawide)","12 MP, f/2.4, 120˚ (ultrawide)",,GSM 850 / 900 / 1800 / 1900,"1752 x 2800 pixels, 16:10 ratio (~266 ppi density)",,,"2023, July 26",GSM / HSPA / LTE / 5G,UFS,,,,Adreno 740,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-s9-plus-5g.jpg,"12.4 inches, 446.1 cm2(~84.3% screen-to-body ratio)",Samsung Galaxy Tab S9+,,,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA/Sub6","GPS, GLONASS, BDS, GALILEO - cellular model only",,Li-Po 10090 mAh,,"LED flash, HDR, panorama",Octa-core (1x3.36 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),,1.35 W/kg (body),Tuned by AKG,,Nano-SIM +eSIM(cellular model only),,,,,microSDXC (dedicated slot),Corning Gorilla Glass,,285.4 x 185.4 x 5.7 mm (11.24 x 7.30 x 0.22 in),,"256GB 12GB RAM, 512GB 12GB RAM","USB Type-C 3.2, magnetic connector","SM-X810, SM-X816B",,"Yes, with stereo speakers (4 speakers)","5.3, A2DP, LE",,,,586 g (581 g Wi-Fi) (1.29 lb),"Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct","4K@30fps, 1080p@30fps",,"HSPA, LTE (CA), 5G - cellular model only","Glass front, aluminum frame, aluminum back",No,,,Samsung,,,,"Beige, Graphite","Dynamic AMOLED 2X, 120Hz, HDR10+",,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"4K@30fps, 1080p@30fps",,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass"
"IP68 dust/water resistant (up to 1.5m for 30 min)Stylus, 2.8ms latency (Bluetooth integration, accelerometer, gyro)","12 MP, f/2.4, 120˚ (ultrawide)",,"Android 13, up to 4 major Android upgrades, One UI 6",,,No,,Qualcomm SM8550-AC Snapdragon 8 Gen 2 (4 nm),,"Available. Released 2023, August 11",HDR,,,,,,,,,,,,,,No,45W wired,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 32, 38, 40, 41, 66",,,,About 750 EUR,Wireless Samsung DeX,,,"13 MP, f/2.0, 26mm (wide), 1/3.4"", 1.0µm, AF",,GSM 850 / 900 / 1800 / 1900,"1600 x 2560 pixels, 16:10 ratio (~274 ppi density)",,,"2023, July 26",GSM / HSPA / LTE / 5G,UFS,,,,Adreno 740,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-s9-5g.jpg,"11.0 inches, 350.9 cm2(~83.2% screen-to-body ratio)",Samsung Galaxy Tab S9,,,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA/Sub6","GPS, GLONASS, BDS, GALILEO - cellular model only",,Li-Po 8400 mAh,,"LED flash, HDR, panorama",Octa-core (1x3.36 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),,0.66 W/kg (body),Tuned by AKG,,Nano-SIM +eSIM(cellular model only),,,,,microSDXC (dedicated slot),Corning Gorilla Glass,,254.3 x 165.8 x 5.9 mm (10.01 x 6.53 x 0.23 in),,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","USB Type-C 3.2, magnetic connector","SM-X710, SM-X716B",,"Yes, with stereo speakers (4 speakers)","5.3, A2DP, LE",,,,498 g (1.10 lb),"Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct","4K@30fps, 1080p@30fps",,"HSPA, LTE (CA), 5G - cellular model only","Glass front, aluminum frame, aluminum back",No,,,Samsung,,,,"Beige, Graphite","Dynamic AMOLED 2X, 120Hz, HDR10+",,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"4K@30fps, 1080p@30fps",,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass"
MIL-STD-810H compliant*50m water resistant (IP68)ECG certifiedBlood pressure monitorCompatible with standard 20mm straps*does not guarantee ruggedness or use in extreme conditions,,,"Android Wear OS 4, upgradable to 5.0, One UI Watch 6",,,No,,Exynos W930 (5 nm),,"Available. Released 2023, August 11",,,,,,,,,,,,,,,No,10W wireless,"1, 2, 3, 4, 5, 7, 8, 12, 13, 18, 19, 20, 25, 26, 28, 40, 66, 71",,,,€ 209.00 / $ 196.96,,,,,,GSM 850 / 900 / 1800 / 1900,480 x 480 pixels (~453 ppi density),,,"2023, July 26",GSM / HSPA / LTE,Always-on display,,,,Mali-G68,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-watch6-classic.jpg,1.5 inches,Samsung Galaxy Watch6 Classic,,,,,"GPS, GLONASS, GALILEO, BDS",,Li-Ion 425 mAh,,,Dual-core 1.4 GHz Cortex-A55,,,No,,eSIM,,,,€ 209.00,No,Sapphire crystal,,46.5 x 46.5 x 10.9 mm (1.83 x 1.83 x 0.43 in),,16GB 2GB RAM,No,,,Yes,"5.3, A2DP, LE",,,,"59 g (47mm), 52 g (43mm) (2.08 oz)","Wi-Fi 802.11 a/b/g/n, dual-band",,,"HSPA, LTE","Sapphire crystal front, stainless steel frame",Yes,,,Samsung,,,,"Black, Silver",Super AMOLED,,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,,"Accelerometer, gyro, heart rate, barometer, altimeter, compass, SpO2, temperature (skin)"
MIL-STD-810H compliant*50m water resistant (IP68)Compatible with standard 20mm strapsECG certifiedBlood pressure monitor*does not guarantee ruggedness or use in extreme conditions,,,"Android Wear OS 4, upgradable to 5.0, One UI Watch 6",,,No,,Exynos W930 (5 nm),,"Available. Released 2023, August 11",,,,,,,,,,,,,,,No,10W wireless,"1, 2, 3, 4, 5, 7, 8, 12, 13, 18, 19, 20, 25, 26, 28, 40, 66, 71",,,,€ 209.21 / £ 261.26,,,,,,GSM 850 / 900 / 1800 / 1900,480 x 480 pixels (~327 ppi density),,,"2023, July 26",GSM / HSPA / LTE,Always-on display,,,,Mali-G68,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-watch6.jpg,1.5 inches,Samsung Galaxy Watch6,,,,,"GPS, GLONASS, GALILEO, BDS",,Li-Ion 425 mAh,,,Dual-core 1.4GHz Cortex-A55,,,No,,eSIM,,,,€ 209.21,No,Sapphire crystal,,42.8 x 44.4 x 9 mm (1.69 x 1.75 x 0.35 in),,16GB 2GB RAM,No,,,Yes,"5.3, A2DP, LE",,,,"33.3 g (44mm), 28.7 g (40mm) (1.02 oz)","Wi-Fi 802.11 a/b/g/n, dual-band",,,"HSPA, LTE","Glass front (Sapphire crystal), aluminum frame",Yes,,,Samsung,,,,"Graphite, Silver, Gold",Super AMOLED,,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,,"Accelerometer, gyro, heart rate, barometer, altimeter, compass, SpO2, temperature (skin)"
UFS 2.2,,,"Android 13, upgradable to Android 14, One UI 6",,,Yes,,Exynos 1280 (5 nm),,"Available. Released 2023, July 15",,,,,,,,,,,,,,,FM radio,25W wired,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 38, 40, 41, 66",,,,"₹ 14,990",,,,"13 MP, f/2.2, (wide)",,GSM 850 / 900 / 1800 / 1900,"1080 x 2340 pixels, 19.5:9 ratio (~396 ppi density)",,,"2023, July 03",GSM / HSPA / LTE / 5G,Virtual proximity sensing,0.89 W/kg (head),,,Mali-G68,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-m34-5g.jpg,"6.5 inches, 103.7 cm2(~83.1% screen-to-body ratio)",Samsung Galaxy M34 5G,,,,"1, 3, 5, 7, 8, 28, 38, 40, 41, 66, 78 SA/NSA/Sub6","GPS, GLONASS, GALILEO, BDS","₹ 14,990",Li-Po 6000 mAh,,"LED flash, panorama, HDR",Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),,,,,Nano-SIM + Nano-SIM,"50 MP, f/1.8, (wide), PDAF, OIS8 MP, f/2.2, 120˚ (ultrawide)2 MP, f/2.4",,,,microSDXC (uses shared SIM slot),Corning Gorilla Glass 5,,161.7 x 77.2 x 8.8 mm (6.37 x 3.04 x 0.35 in),,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","USB Type-C 2.0, OTG","SM-M346B, SM-M346B/DS, SM-M346B1, SM-M346B1/DS",,Yes,"5.3, A2DP, LE",,,,208 g (7.34 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","4K@30fps, 1080p@30fps",,"HSPA, LTE, 5G",,Yes,,,Samsung,,,,"Midnight Blue, Prism Silver, Waterfall Blue","Super AMOLED, 120Hz, 1000 nits (peak)",,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,1080p@30fps,,"Fingerprint (side-mounted), accelerometer, gyro, compass"
,,,"Android 13, up to 4 major Android upgrades, One UI 5.1",,,No,,Exynos 1380 (5 nm),,"Available. Released 2023, June 13",,,,,,,,,,,"₹ 20,999",,,,No,Unspecified charging speed,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 38, 40, 41, 66",,,,"₹ 20,999",,,,"32 MP, f/2.2, 26mm (wide), 1/2.8"", 0.8µm",,GSM 850 / 900 / 1800 / 1900,"1080 x 2400 pixels, 20:9 ratio (~393 ppi density)",,,"2023, June 06",GSM / HSPA / LTE / 5G,,1.25 W/kg (head),,,Mali-G68 MP5,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-f54-5g.jpg,"6.7 inches, 108.4 cm2(~85.0% screen-to-body ratio)",Samsung Galaxy F54,,,,"1, 3, 5, 7, 8, 28, 40, 41, 77, 78 SA/NSA/Sub6","GPS, GLONASS, GALILEO, BDS, QZSS, NavIC",,Li-Po 6000 mAh,,"LED flash, panorama, HDR",Octa-core (4x2.4 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),,,,,Nano-SIM + Nano-SIM,"108 MP, f/1.8, (wide), PDAF, OIS8 MP, f/2.2, (ultrawide), 1/4.0"", 1.12µm2 MP, f/2.4, (macro)",,,,microSDXC (uses shared SIM slot),,,164.9 x 77.3 x 8.4 mm (6.49 x 3.04 x 0.33 in),,256GB 8GB RAM,"USB Type-C 2.0, OTG","SM-E546B, SM-E546B/DS",,Yes,"5.3, A2DP, LE",,,,199 g (7.02 oz),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","4K@30fps, 1080p@30/60fps",,"HSPA, LTE, 5G","Glass front, plastic back, plastic frame",Yes,,,Samsung,,,,"Meteor Blue, Stardust Silver","Super AMOLED Plus, 120Hz",,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"4K@30fps, 1080p@30fps",,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass"
Always-on display,,,"Android 13, up to 4 major Android upgrades, One UI 6",,,Yes,-28.9 LUFS (Average),Mediatek Helio G99 (6 nm),,"Available. Released 2023, May 05",,1012 nits max brightness (measured),,,,,,,,,,,,,Unspecified,25W wired,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",Photo/Video,,,About 160 EUR,,,,"13 MP, f/2.2, 25mm (wide), 1/3.06"", 1.12µm",,GSM 850 / 900 / 1800 / 1900,"1080 x 2340 pixels, 19.5:9 ratio (~396 ppi density)",,,"2023, April 19",GSM / HSPA / LTE,Virtual proximity sensing,,,,Mali-G57 MC2,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a24-4g-2.jpg,"6.5 inches, 103.7 cm2(~82.4% screen-to-body ratio)",Samsung Galaxy A24 4G,,,,,"GPS, GLONASS, GALILEO, BDS, QZSS",,Li-Po 5000 mAh,,"LED flash, panorama, HDR",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,0.41 W/kg (head)     1.30 W/kg (body),,,Nano-SIMNano-SIM + Nano-SIM,"50 MP, f/1.8, 27mm (wide), 1/2.76"", 0.64µm, PDAF, OIS5 MP, f/2.2, 17mm, 123˚ (ultrawide), 1/5.0"", 1.12µm2 MP, f/2.4, (macro)",,Endurance rating 141h,,microSDXC (dedicated slot),,,162.1 x 77.6 x 8.3 mm (6.38 x 3.06 x 0.33 in),,"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM",USB Type-C 2.0,"SM-A245F, SM-A245F/DS, SM-A245F/DSN, SM-A245M, SM-A245M/DS, SM-A245N",,Yes,"5.3, A2DP, LE",,,,195 g (6.88 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","1080p@30fps, gyro-EIS",,"HSPA, LTE","Glass front, plastic frame, plastic back",Yes (market/region dependent),,,Samsung,,,,"Black, Lime Green, Blue gradient, Dark red","Super AMOLED, 90Hz, 1000 nits (peak)","AnTuTu: 398005 (v9)GeekBench: 1890 (v5.5), 1900 (v6.0)GFXBench: 12fps (ES 3.1 onscreen)",,HSDPA 850 / 900 / 2100,1080p@30fps,,"Fingerprint (side-mounted), accelerometer, gyro, compass"
,,,"Android 13, One UI Core 5.1",,,Yes,,Exynos 1330 (5 nm),,"Available. Released 2023, March 30",,,,,,,,,,,,,,,"FM radio, recording",25W wired,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 38, 40, 41, 66",,,,"₹ 11,999",,,"50 MP, f/1.8, (wide), PDAF2 MP, f/2.4, (macro)","13 MP, f/2.0, (wide)",,GSM 850 / 900 / 1800 / 1900,"1080 x 2408 pixels, 20:9 ratio (~400 ppi density)",,"₹ 11,999","2023, March 24",GSM / HSPA / LTE / 5G,,0.69 W/kg (head),,,Mali-G68 MP2,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-f14.jpg,"6.6 inches, 104.9 cm2(~81.5% screen-to-body ratio)",Samsung Galaxy F14,,,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA/Sub6","GPS, GLONASS, GALILEO, BDS, QZSS, NavIC",,Li-Po 6000 mAh,,"LED flash, panorama, HDR",Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),,,,,Nano-SIM + Nano-SIM,,,,,microSDXC (dedicated slot),Corning Gorilla Glass 5,,166.8 x 77.2 x 9.4 mm (6.57 x 3.04 x 0.37 in),,"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",USB Type-C 2.0,"SM-E146B, SM-E146B/DS",,Yes,"5.2, A2DP, LE",,,,206 g (7.27 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",1080p@30fps,,"HSPA, LTE-А, 5G","Glass front (Gorilla Glass 5), plastic back, plastic frame",No,,,Samsung,,,,"Black, Green, Purple","PLS LCD, 90Hz",,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,1080p@30fps,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass"
,,,"Android 13, One UI 5.1",,,No,,Exynos 1380 (5 nm),,"Available. Released 2023, April 11",,,,,,,,,,,,,,,No,25W wired,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 38, 40, 41, 66",,,,About 190 EUR,,,,"32 MP, f/2.2, 26mm (wide), 1/2.8"", 0.8µm",,GSM 850 / 900 / 1800 / 1900,"1080 x 2400 pixels, 20:9 ratio (~393 ppi density)",,,"2023, March 22",GSM / HSPA / LTE / 5G,,,,,Mali-G68 MP5,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-m54-5g.jpg,"6.7 inches, 108.4 cm2(~85.0% screen-to-body ratio)",Samsung Galaxy M54,,,,"1, 3, 5, 7, 8, 28, 40, 41, 66, 77, 78 SA/NSA/Sub6","GPS, GLONASS, GALILEO, BDS, QZSS, NavIC",,Li-Po 6000 mAh,,"LED flash, panorama, HDR",Octa-core (4x2.4 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),,0.49 W/kg (head)     1.20 W/kg (body),,,Nano-SIM + Nano-SIM,"108 MP, f/1.8, (wide), PDAF, OIS8 MP, f/2.2, (ultrawide), 1/4.0"", 1.12µm2 MP, f/2.4, (macro)",,,,microSDXC (uses shared SIM slot),Corning Gorilla Glass 5,,164.9 x 77.3 x 8.4 mm (6.49 x 3.04 x 0.33 in),,"128GB 8GB RAM, 256GB 8GB RAM","USB Type-C 2.0, OTG","SM-M546B, SM-M546B/DS",,Yes,"5.3, A2DP, LE",,,,199 g (7.02 oz),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","4K@30fps, 1080p@30/60fps",,"HSPA, LTE, 5G","Glass front (Gorilla Glass 5), plastic back, plastic frame",Yes (market/region dependent),,,Samsung,,,,"Dark Blue, Silver","Super AMOLED Plus, 120Hz",,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"4K@30fps, 1080p@30fps",,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass"
"1, 2, 3, 4, 5, 7, 12, 13, 14, 20, 25, 26, 29, 30, 38, 39, 40, 41, 46, 48, 66, 71 - USA",,,"Android 13, up to 4 major Android upgrades, One UI 6.1",,,No,-26.6 LUFS (Good),Exynos 1380 (5 nm),,"Available. Released 2023, March 24",,980 nits max brightness (measured),€ 287.42,,,,,,,,€ 313.44,,,,No,25W wired,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 32, 38, 40, 41, 66 - International",Photo/Video,,,"€ 287.42 / $ 149.90 / £ 172.97 / ₹ 21,990",Always-on display,,,"32 MP, f/2.2, 26mm (wide), 1/2.8"", 0.8µm",,GSM 850 / 900 / 1800 / 1900,"1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)",,,"2023, March 15",GSM / HSPA / LTE / 5G,"25, 41, 66, 71 SA/NSA/Sub6/mmWave - USA",0.81 W/kg (head)     0.67 W/kg (body),,,Mali-G68 MP5,Active use score 11:15h,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a54.jpg,"6.4 inches, 100.5 cm2(~82.9% screen-to-body ratio)",Samsung Galaxy A54,,,,"1, 3, 7, 8, 20, 28, 38, 40, 41, 77, 78 SA/NSA/Sub6 - International","GPS, GLONASS, GALILEO, BDS",€ 334.90,5000 mAh,,"LED flash, panorama, HDR",Octa-core (4x2.4 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),,0.69 W/kg (head)     1.34 W/kg (body),IP67 dust/water resistant (up to 1m for 30 min),,Nano-SIM +eSIMNano-SIM + Nano-SIM,"50 MP, f/1.8, 23mm (wide), 1/1.56"", 1.0µm, PDAF, OIS12 MP, f/2.2, 13mm, 123˚ (ultrawide), 1/3.X"", 1.12µm5 MP, f/2.4, (macro)",,Endurance rating 119h,,microSDXC (uses shared SIM slot),Corning Gorilla Glass 5,,158.2 x 76.7 x 8.2 mm (6.23 x 3.02 x 0.32 in),,"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM","USB Type-C 2.0, OTG","SM-A546V, SM-A546U, SM-A546U1, SM-A546B, SM-A546B/DS, SM-A546E, SM-A546E/DS, SM-A5460, SM-A546M, SM-A546M/DS",,"Yes, with stereo speakers","5.3, A2DP, LE",,,,202 g (7.13 oz),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","4K@30fps, 1080p@30/60fps, 720p@480fps, gyro-EIS",,"HSPA, LTE, 5G","Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), plastic frame",Yes (market/region dependent),,,Samsung,,,,"Lime, Graphite, Violet, White","Super AMOLED, 120Hz, HDR10+, 1000 nits (HBM)","AnTuTu: 506678 (v9)GeekBench: 2703 (v5.1), 2797 (v6)GFXBench: 25fps (ES 3.1 onscreen)",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"4K@30fps, 1080p@30/60fps",Virtual proximity sensingCircle to Search,"Fingerprint (under display, optical), accelerometer, gyro, compass, barometer (USA only)"
IP67 dust/water resistant (up to 1m for 30 min),,,"Android 13, up to 4 major Android upgrades, One UI 6.1",,,No,-26.1 LUFS (Good),Mediatek Dimensity 1080 (6 nm),,"Available. Released 2023, March 24",,1009 nits max brightness (measured),"₹ 24,999",,,,,,,,€ 242.99,,,,No,25W wired,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 32, 38, 40, 41, 66",Photo/Video,,,"€ 225.92 / $ 231.13 / £ 148.00 / ₹ 24,999",,,,"13 MP, f/2.2, 26mm (wide), 1/3.1"", 1.12µm",,GSM 850 / 900 / 1800 / 1900,"1080 x 2340 pixels, 19.5:9 ratio (~390 ppi density)",,,"2023, March 14",GSM / HSPA / LTE / 5G,Always-on display,,,,Mali-G68 MC4,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a34.jpg,"6.6 inches, 106.9 cm2(~84.9% screen-to-body ratio)",Samsung Galaxy A34,,,,"1, 3, 7, 8, 20, 28, 38, 40, 41, 77, 78 SA/NSA/Sub6","GPS, GLONASS, GALILEO, BDS",€ 225.92,Li-Ion 5000 mAh,,"LED flash, panorama, HDR",Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),,0.55 W/kg (head)     1.49 W/kg (body),Virtual proximity sensingCircle to Search,,Nano-SIMNano-SIM + Nano-SIM,"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF, OIS8 MP, f/2.2, 123˚, (ultrawide), 1/4.0"", 1.12µm5 MP, f/2.4, (macro)",,Endurance rating 133h,,microSDXC (uses shared SIM slot),Corning Gorilla Glass 5,,161.3 x 78.1 x 8.2 mm (6.35 x 3.07 x 0.32 in),,"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM","USB Type-C 2.0, OTG","SM-A346E, SM-A346B, SM-A346B/DS, SM-A346B/DSN, SM-A346E/DS, SM-A346E/DSN, SM-A346M, SM-A346M/N, SM-A346M/DSN, SM-A3460",,"Yes, with stereo speakers","5.3, A2DP, LE",,,,199 g (7.02 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","4K@30fps, 1080p@30/60fps, 720p@480fps",,"HSPA, LTE, 5G","Glass front (Gorilla Glass 5), plastic frame, plastic back",Yes (market/region dependent),,,Samsung,,,,"Lime, Graphite, Violet, Silver","Super AMOLED, 120Hz, 1000 nits (HBM)","AnTuTu: 472126 (v9)GeekBench: 2316 (v5.5), 2518 (v6)GFXBench: 23fps (ES 3.1 onscreen)",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"4K@30fps, 1080p@30fps",,"Fingerprint (under display, optical), accelerometer, gyro, compass"
