,Price,USB,SAR EU,EDGE,SIM,Technology,Weight,GPRS,Radio,Chipset,Battery (old),Type_1,Speed,Charging,Display,Alert types,_3,Sensors,Build,Quad,Java,Single_1,CPU,GPU,Video_1,Call records,Languages,Announced,Stand-by_1,NFC,Loudspeaker,Features_1,Music play,Bluetooth,Colors,Dual,Talk time,Resolution,2G bands,Camera,4G bands,_2,Video,Messaging,Infrared port,_4,Brand,Talk time_1,Status,Type,Browser,_5,3.5mm jack,Loudspeaker_1,Phonebook,_1,Alarm,WLAN,Stand-by,Clock,Card slot,Model Name,Triple,Size,Games,Dimensions,Positioning,Model Image,SAR,Audio quality,Single,Models,OS,Protection,Internal,Keyboard,Features,3G bands
"1, 2, 4, 7, 28 - 5042E",About 180 EUR,microUSB 2.0,,,"Dual SIM (Micro-SIM, dual stand-by)",GSM / HSPA / LTE,147 g (5.19 oz),,"Stereo FM radio, RDS",Qualcomm MSM8916 Snapdragon 410 (28 nm),,"Li-Ion 2000 mAh, removable","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,,"Accelerometer, gyro, proximity, compass",,,,VGA,Quad-core 1.2 GHz Cortex-A53,Adreno 306,,,,"2014, September. Released 2014, December",,No,Yes,,,"4.0, A2DP","Lemon Yellow, Lavender, Jade Green, Cozy Red, Aqua Blue, White, Platinum Silver, Ash Gray, Volcano Black",,Up to 8 h (2G) / Up to 12 h (3G),"480 x 854 pixels, 16:9 ratio (~218 ppi density)","GSM 850 / 900 / 1800 / 1900 - 5042D, 5042E (SIM 1, SIM 2)",,"1, 3, 7, 8, 20 - 5042D",,1080p@30fps,,,,alcatel,,Discontinued,TFT,,,Yes,,,eMMC 4.5,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot",Up to 400 h (2G) / Up to 400 h (3G),,microSDHC (dedicated slot),alcatel Pop 2 (4.5) Dual SIM,,"4.5 inches, 55.8 cm2(~64.4% screen-to-body ratio)",,132.5 x 65.4 x 9.9 mm (5.22 x 2.57 x 0.39 in),"GPS, GLONASS",https://fdn2.gsmarena.com/vv/bigpic/alcatel-pop-2-45.jpg,,,"5 MP, AF",,Android 4.4 (KitKat),,"8GB (5GB user available), 1GB RAM",,"LED flash, HDR, panorama","HSDPA 850 / 900 / 1900 / 2100 - 5042D, 5042E"
HSDPA 2100  / 800 - 5042F,About 130 EUR,microUSB 2.0,,,Micro-SIM,GSM / HSPA / LTE,147 g (5.19 oz),,"Stereo FM radio, RDS",Qualcomm MSM8916 Snapdragon 410 (28 nm),,"Li-Ion 2000 mAh, removable","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,"1, 3, 19 - 5042F","Accelerometer, gyro, proximity, compass",,,,VGA,Quad-core 1.2 GHz Cortex-A53,Adreno 306,,,,"2014, September. Released 2014, December",,No,Yes,,,"4.0, A2DP","Lemon Yellow, Lavender, Jade Green, Cozy Red, Aqua Blue, White, Platinum Silver, Ash Gray, Volcano Black",,Up to 8 h (2G) / Up to 12 h (3G),"480 x 854 pixels, 16:9 ratio (~218 ppi density)",GSM 850 / 900 / 1800 / 1900 - all models,,"1, 2, 4, 5, 7 - 5042A","1, 2, 4, 7, 28 - 5042W",1080p@30fps,,,eMMC 4.5,alcatel,,Discontinued,TFT,,,Yes,,,"1, 3, 7, 8, 20 - 5042X",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot",Up to 400 h (2G) / Up to 400 h (3G),,microSDHC (dedicated slot),alcatel Pop 2 (4.5),,"4.5 inches, 55.8 cm2(~64.4% screen-to-body ratio)",,132.5 x 65.4 x 10 mm (5.22 x 2.57 x 0.39 in),"GPS, GLONASS",https://fdn2.gsmarena.com/vv/bigpic/alcatel-pop-2-45.jpg,,,"5 MP, AF",,Android 4.4.2 (KitKat),,"8GB (5GB user available), 1GB RAM",,"LED flash, HDR, panorama","HSDPA 850 / 900 / 1900 / 2100 - 5042A, 5042X, 5042W, 5042G"
,About 90 EUR,microUSB 2.0,,,Micro-SIM,GSM / HSPA,149.1 g (5.26 oz),,FM radio,,,"Li-Ion 2000 mAh, removable",HSPA,,,,,"Accelerometer, proximity",,,,VGA,Quad-core 1.2 GHz,,,,,"2014, August. Released 2014, September",,No,Yes,,,"4.0, A2DP",Black,,Up to 6 h (3G),"540 x 960 pixels, 16:9 ratio (~220 ppi density)",GSM 850 / 900 / 1800 / 1900,,,,720p@30fps,,,,alcatel,,Discontinued,IPS LCD,,,Yes,,,,,"Wi-Fi 802.11 b/g/n, hotspot",Up to 336 h (3G),,microSDHC (dedicated slot),alcatel Fierce 2,,"5.0 inches, 68.9 cm2(~68.0% screen-to-body ratio)",,141 x 71.9 x 9.9 mm (5.55 x 2.83 x 0.39 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-fierce2.jpg,,,"5 MP, AF","7040T, 7040N",Android 4.4.2 (KitKat),,4GB 1GB RAM,,LED flash,HSDPA 850 / 1700 / 1900 / 2100
,About 60 EUR,microUSB 2.0,,,Micro-SIM,GSM / HSPA,121.1 g (4.27 oz),,"FM radio, RDS",,,"Li-Ion 1400 mAh, removable",HSPA,,,,,"Accelerometer, proximity",,,,VGA,Dual-core 1.3 GHz,,,,,"2014, October. Released 2014, October",,No,Yes,,,"4.0, A2DP",Black,,Up to 6 h (3G),"480 x 800 pixels, 5:3 ratio (~233 ppi density)",GSM 850 / 900 / 1800 / 1900,,,,720p@30fps,,,,alcatel,,Discontinued,IPS LCD,,,Yes,,,,,"Wi-Fi 802.11 b/g/n, hotspot",Up to 336 h (3G),,microSDHC (dedicated slot),alcatel Evolve 2,,"4.0 inches, 45.5 cm2(~58.1% screen-to-body ratio)",,121.6 x 64.5 x 11.7 mm (4.79 x 2.54 x 0.46 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-evolve2.jpg,,,5 MP,,Android 4.4.2 (KitKat),,4GB 512MB RAM,,LED flash,HSDPA 850 / 1700 / 1900 / 2100
eMMC 4.5,About 250 EUR,microUSB 2.0,,,Micro-SIM,GSM / HSPA / LTE,327 g (11.53 oz),,No,Qualcomm MSM8916 Snapdragon 410 (28 nm),,"Li-Ion 4100 mAh, non-removable","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,,Accelerometer,,,,3 MP,Quad-core 1.2 GHz Cortex-A53,Adreno 306,,,,"2014, September. Released 2014, December",,No,Yes,,,"4.0, A2DP","White, Black/ color back panels",,,"800 x 1280 pixels, 16:10 ratio (~189 ppi density)",GSM 850 / 900 / 1800 / 1900,,"1, 3, 7, 8, 20",,Yes,,Yes,,alcatel,,Discontinued,IPS LCD,,,Yes,,,,,Wi-Fi 802.11 b/g/n,,,microSDHC (dedicated slot),alcatel Pop 8S,,"8.0 inches, 185.6 cm2(~69.4% screen-to-body ratio)",,209 x 128 x 7.2 mm (8.23 x 5.04 x 0.28 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-pop-8s-1.jpg,,,"5 MP, AF",,Android 4.4.2 (KitKat),,8GB 1GB RAM,,,HSDPA 850 / 900 / 1900 / 2100
Stylus,About 280 EUR,microUSB 2.0,,,Micro-SIM,GSM / HSPA / LTE,310 g (10.93 oz),,"Stereo FM radio, RDS",Mediatek MT8392 (28 nm),,"Li-Ion 4060 mAh, non-removable","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,,,,"Accelerometer, gyro, proximity, compass",,,,2 MP,Octa-core 2.0 GHz Cortex-A7,Mali-450MP4,1080p@30fps,,,"2014, September. Released 2014, December",,Yes,Yes,,,"4.0, A2DP",Dark Gray,,,"1200 x 1920 pixels, 16:10 ratio (~283 ppi density)",GSM 850 / 900 / 1800 / 1900,,"1, 3, 7, 8, 20",,1080p@30fps,,Yes,,alcatel,,Discontinued,IPS LCD,,,Yes,,,,,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, DLNA, hotspot",,,microSDHC (dedicated slot),alcatel Hero 8,,"8.0 inches, 185.6 cm2(~72.8% screen-to-body ratio)",,209 x 122 x 7.3 mm (8.23 x 4.80 x 0.29 in),"GPS, GLONASS",https://fdn2.gsmarena.com/vv/bigpic/alcatel-hero-8.jpg,,,"5 MP, AF",,Android 4.4.2 (KitKat),"Asahi Dragontrail Glass, oleophobic coating","8GB 2GB RAM, 16GB 2GB RAM, 32GB 2GB RAM",,LED flash,HSDPA 850 / 900 / 1900 / 2100
"1, 3, 7, 8, 20 - 8030Y",About 460 EUR,microUSB 2.0,,,Micro-SIM,GSM / HSPA / LTE,175 g (6.17 oz),,"Stereo FM radio, RDS",Mediatek MT8392 (28 nm),,"Li-Ion 3100 mAh, non-removable","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,,,,"Accelerometer, gyro, proximity, compass",,,,5 MP,Octa-core 2.0 GHz Cortex-A7,Mali-450MP4,1080p@30fps,,,"2014, September. Released 2014, September",,Yes,Yes,,,"4.0, A2DP",Dark Gray,,Up to 15 h 30 min (2G) / Up to 10 h (3G),"1080 x 1920 pixels, 16:9 ratio (~367 ppi density)","GSM 850 / 900 / 1800 / 1900 - 8030B, 8030Y",,"1, 2, 3, 4, 7, 28 - 8030B",,1080p@30fps,,Yes,,alcatel,,Discontinued,IPS LCD,,,Yes,,,Stylus,,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, DLNA, hotspot",Up to 500 h (2G) / Up to 380 h (3G),,microSDHC (dedicated slot),alcatel Hero 2,,"6.0 inches, 99.2 cm2(~75.8% screen-to-body ratio)",,160.5 x 81.6 x 7.9 mm (6.32 x 3.21 x 0.31 in),"GPS, GLONASS",https://fdn2.gsmarena.com/vv/bigpic/alcatel-hero-2.jpg,,,"13.1 MP, AF, OIS",8030Y,Android 4.4.2 (KitKat),"Asahi Dragontrail Glass, oleophobic coating","16GB (12.9GB user available), 2GB RAM",,"LED flash, HDR, panorama","HSDPA 850 / 900 / 1900 / 2100 - 8030B, 8030Y"
No,About 80 EUR,microUSB 2.0,,,"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)",GSM / HSPA,100 g (3.53 oz),,"Stereo FM radio, RDS",,,"Li-Ion 1300 mAh, removable",HSPA 21.1/5.76 Mbps,,,,,Accelerometer,,,,,Dual-core 1.0 GHz,,,,,"2014, May. Released 2014, May",,No,Yes,,,"4.0, A2DP","Full White, Bluish Black",,Up to 5 h 50 min (2G) / Up to 2 h 40 min (3G),"320 x 480 pixels, 3:2 ratio (~165 ppi density)",GSM 850 / 900 / 1800 / 1900,,,,480p@30fps,,,,alcatel,,Discontinued,"TFT, 256K colors",,,Yes,,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",Up to 433 h (2G) / Up to 325 h (3G),,microSDHC (dedicated slot),alcatel Pixi 2,,"3.5 inches, 36.5 cm2(~52.3% screen-to-body ratio)",,112.5 x 62 x 12 mm (4.43 x 2.44 x 0.47 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/Alcatel-One-Touch-Pixi-2-1.jpg,,,2 MP,,Android 4.2 (Jelly Bean),,4GB 512MB RAM,,,HSDPA 900 / 2100
,About 100 EUR,microUSB 2.0,,,Micro-SIM,GSM / HSPA,150 g (5.29 oz),,FM radio,,,"Li-Ion 1800 mAh, removable",HSPA 21.1/5.76 Mbps,,,,,Accelerometer,,,,VGA,Quad-core 1.3 GHz,,,,,"2014, August. Released 2014, September",,No,Yes,,Up to 48 h,"4.0, A2DP","Black/White, Platinum Silver, Ash Gray, Volcano BlackWhite, Platinum Silver, Cozy Red, Lemon Yellow, Aqua Blue, Jade Green, Lavender",,Up to 10 h (2G) / Up to 9 h 30 min (3G),"480 x 854 pixels, 16:9 ratio (~218 ppi density)",GSM 850 / 900 / 1800 / 1900,,,,720p@30fps,,,,alcatel,,Discontinued,TFT,,,Yes,,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",Up to 488 h (2G) / Up to 305 h (3G),,microSDHC (dedicated slot),alcatel Pop D5,,"4.5 inches, 55.8 cm2(~62.0% screen-to-body ratio)",,132.5 x 67.9 x 10 mm (5.22 x 2.67 x 0.39 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-pop-d5.jpg,,,5 MP,5038X,Android 4.4.2 (KitKat),,4GB 512MB RAM,,"LED flash, HDR",HSDPA 900 / 2100
"GSM 850 / 900 / 1800 / 1900 - 4032X, 4032A",About 40 EUR,microUSB 2.0,,,"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)",GSM / HSPA,116 g (4.09 oz),,"Stereo FM radio, RDS",,,"Li-Ion 1300 mAh, removable",HSPA 21.1/5.76 Mbps,,,,,Accelerometer,,,,,Dual-core 1.3 GHz,,,,,"2014, July. Released 2014, July",,No,Yes,,,"4.0, A2DP","Bluish Black, Pure White",,Up to 13 h 30 min (2G) / Up to 9 h 30 min (3G),"480 x 800 pixels, 5:3 ratio (~233 ppi density)","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 - 4032D, 4032E",,,,480p@30fps,,,,alcatel,,Discontinued,"TFT, 256K colors",,,Yes,,,No,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",Up to 510 h (2G) / Up to 400 h (3G),,microSDHC (dedicated slot),alcatel Pop C2,,"4.0 inches, 45.5 cm2(~58.0% screen-to-body ratio)",,122 x 64.4 x 12 mm (4.80 x 2.54 x 0.47 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-pop-c2.jpg,,,3.15 MP,,Android 4.2 (Jelly Bean),,4GB 512MB RAM,,,HSDPA 900 / 2100
,About 100 EUR,microUSB 2.0,,No,No,No cellular connectivity,325 g (11.46 oz),No,No,,,"Li-Ion 3240 mAh, non-removable",,,,,,,,,,VGA,,,,,,"2014, June. Released 2014, July",,No,Yes,,,No,"Bluish Black, Chocolate, Aubergine",,,"800 x 1280 pixels, 16:10 ratio (~189 ppi density)",N/A,,,,Yes,,Yes,,alcatel,,Discontinued,TFT,,,Yes,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,microSDHC (dedicated slot),alcatel Pixi 8,,"8.0 inches, 185.6 cm2(~71.3% screen-to-body ratio)",,209 x 124.5 x 9 mm (8.23 x 4.90 x 0.35 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-pixi-8.jpg,,,VGA,,Android 4.4.2 (KitKat),,"4GB 512MB RAM (EMEA), 8GB 1GB RAM (LATAM)",,,
No,About 50 EUR,microUSB 1.1,0.45 W/kg (head)     0.77 W/kg (body),,"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)",GSM,98 g (3.46 oz),Yes,"FM radio, RDS",,,"Li-Ion 750 mAh, removable",,,,,,,,,No,,,,,Yes,,2014. Released 2014,,No,Yes,,Up to 12 h,3.0,Dark Chocolate,,Up to 6 h,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,,,240p@15fps,"SMS, MMS",,,alcatel,,Discontinued,"TFT, 256K colors",,,Yes,,1000 entries,OrganizerMP3/MP4/H.263 playerPhoto viewerPredictive text input,,No,Up to 450 h,,microSDHC (dedicated slot),alcatel 2012,,"2.8 inches, 24.3 cm2(~42.3% screen-to-body ratio)",Yes,107 x 53.7 x 14 mm (4.21 x 2.11 x 0.55 in),No,https://fdn2.gsmarena.com/vv/bigpic/alcatel-2012.jpg,,,3.15 MP,"2012G, 2012D",,,16MB,,,
No,About 50 EUR,microUSB 2.0,,,"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)",GSM,95 g (3.35 oz),Yes,"Stereo FM radio, RDS",,,"Li-Ion 750 mAh, removable",,,,,,,,,No,,,,,Yes,,2014. Released 2014,,No,Yes,,,3.0,"Anthracite, Apple Green, Coralline Fresh, Rose Fresh, Turquoise Iron gray, Pure White",,Up to 6 h,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,,,144p@12fps,"SMS, MMS",,,alcatel,,Discontinued,"TFT, 256K colors",,,Yes,,300 entries,SNS appsOrganizerMP3/WAV/AAC+/MP4/H.263 playerPhoto viewerPredictive text input,,No,Up to 450 h,,microSDHC (dedicated slot),alcatel 2010,,"2.4 inches, 17.8 cm2(~32.1% screen-to-body ratio)",Yes,106 x 52.5 x 13.6 mm (4.17 x 2.07 x 0.54 in),No,https://fdn2.gsmarena.com/vv/bigpic/alcatel-2010.jpg,,,2 MP,"2010A, 2010D, 2010E",,,"128MB ROM, 64MB RAM",,,
No,About 50 EUR,microUSB,,,Mini-SIM,GSM / HSPA,74 g (2.61 oz),,FM radio,,,"Li-Ion 750 mAh, removable",HSPA,,,,,,,,No,,460 MHz,,,Yes,,2014. Released 2014,,No,Yes,,,2.0,Black,,Up to 3 h,128 x 160 pixels (~114 ppi density),GSM 850 / 900 / 1800 / 1900,,,,,"SMS, MMS",,,alcatel,,Discontinued,TFT,,,Yes,,Yes,SNS appsOrganizerMP3/WAV/AAC+/MP4/H.263 playerPhoto viewerPredictive text input,,No,Up to 144 h,,microSDHC (dedicated slot),alcatel 2052,,"1.8 inches, 10.2 cm2(~21.0% screen-to-body ratio)",Yes,108.5 x 44.8 x 13 mm (4.27 x 1.76 x 0.51 in),No,https://fdn2.gsmarena.com/vv/bigpic/alcatel-2052.jpg,,,VGA,,,,128MB,,,HSDPA 900 / 2100
No,About 30 EUR,microUSB 2.0,,No,"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)",GSM,77.9 g (2.75 oz),Class 12,"FM radio, RDS, recording; built-in antenna",,,"Li-Ion 850 mAh, removable",,,,,,,,,No,,,,,Yes,,2014. Released 2014,,No,Yes,,,No,Black,,Up to 8 h,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM1 & SIM 2 (optional),,,,320p@12fps,"SMS, MMS",,,alcatel,,Discontinued,"TFT, 256K colors",,,Yes,,300 entries,SNS appsOrganizerMP3/WAV/AAC+/MP4/H.263 playerPhoto viewerPredictive text input,,No,Up to 600 h,,microSDHC (dedicated slot),alcatel 2040,,"2.4 inches, 17.8 cm2(~28.1% screen-to-body ratio)",Yes,123.4 x 51.5 x 12.4 mm (4.86 x 2.03 x 0.49 in),No,https://fdn2.gsmarena.com/vv/bigpic/alcatel-2040.jpg,,,VGA,"2040G, 2040D",,,"4MB ROM, 4MB RAM",,,
GSM 900 / 1800,About 20 EUR,microUSB 2.0,,No,"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)",GSM,85 g (3.00 oz),Yes,"Stereo FM radio, RDS",,,"Li-Ion 850 mAh, removable",,,,,,,,,No,,,,,Yes,,2014. Released 2014,,No,Yes,,Up to 8 h,3.0,"Anthracite, Coralline, Fresh Rose, Apple Green, OfficerTurquoise, White",,Up to 14 h,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",GSM 850 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,,Facebook & Twitter appsOrganizerMP3/MP4/H.263 playerPhoto/video viewerPredictive text input,320p@15fps,SMS,,,alcatel,,Discontinued,"TFT, 256K colors",,,No,,500 entries,No,,No,Up to 425 h,,microSDHC (dedicated slot),alcatel 2005,,"2.4 inches, 17.8 cm2(~29.7% screen-to-body ratio)",No,120 x 50 x 10 mm (4.72 x 1.97 x 0.39 in),No,https://fdn2.gsmarena.com/vv/bigpic/alcatel-2005.jpg,,,2 MP,"2005A, 2005D",,,128MB/ 64MB,,,
"1, 3, 5, 7, 8, 20 - P330A",About 190 EUR,microUSB 2.0,,,Micro-SIM,GSM / HSPA / LTE,279 g (9.84 oz),,No,Qualcomm MSM8926 Snapdragon 400 (28 nm),,"Li-Ion 3240 mAh, non-removable","HSPA 21.1/5.76 Mbps, LTE",,,,,,,,,VGA,Quad-core 1.2 GHz Cortex-A7,Adreno 305,,,,"2014, January. Released 2014, Q2",,No,Yes,,,"4.0, A2DP","White, Black/ color back panels",,,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",GSM 850 / 900 / 1800 / 1900,,"1, 3, 7, 8, 20 - P330X",,Yes,,,,alcatel,,Discontinued,IPS LCD,,,Yes,,,eMMC 4.5,,Wi-Fi 802.11 b/g/n,,,microSDHC (dedicated slot),alcatel Pop 7S,,"7.0 inches, 137.9 cm2(~63.6% screen-to-body ratio)",,192 x 113 x 9 mm (7.56 x 4.45 x 0.35 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-pop-7s.jpg,,,3 MP,,Android 4.4.2 (KitKat),,4GB 1GB RAM,,,HSDPA 900 / 2100
,About 80 EUR,microUSB 2.0,,No,No,No cellular connectivity,285 g (10.05 oz),No,No,Mediatek MT8117,,"Li-Ion 2840 mAh, non-removable",,,,,,,,,,VGA,Dual-core 1.2 GHz Cortex-A7,PowerVR SGX544,,,,"2014, February. Released 2014, July",,No,Yes,,,Yes,"Bluish Black, Gun Gray/ Color Skins",,Up to 4 h (multimedia),"540 x 960 pixels, 16:9 ratio (~157 ppi density)",N/A,,,,Yes,,,,alcatel,,Discontinued,TFT,,,Yes,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,microSDHC (dedicated slot),alcatel Pixi 7,,"7.0 inches, 135.1 cm2",,9.9 mm thickness,No,https://fdn2.gsmarena.com/vv/bigpic/alcatel-pixi-7.jpg,,,VGA,I216X,Android 4.4.2 (KitKat),,"4GB 512MB RAM (EMEA), 4GB 1GB RAM (LATAM)",,,
"1, 3, 5, 7, 8, 17 - 7050W",About 280 EUR,microUSB 2.0,,,Single SIM or Dual SIM (dual stand-by),GSM / HSPA / LTE,182 g (6.42 oz),,"FM radio, RDS",,,"Li-Ion 3400 mAh, non-removable","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,,"Accelerometer, proximity, compass",,,,2 MP,Quad-core 1.2 GHz,,,,,"2014, February. Released 2014, Q2",,Yes,Yes,,,"4.0, A2DP","Midnight Blue, Dark Chocolate, Dark Aubergine, White/ purple, green, red, orange, yellow back panels",,Up to 36 h (2G) / Up to 23 h (3G),"720 x 1280 pixels, 16:9 ratio (~249 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,"1, 3, 7, 8, 20 - 7050Y",,1080p@30fps,,,,alcatel,,Discontinued,IPS LCD,,,Yes,,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",Up to 425 h,,microSDHC (dedicated slot),alcatel Pop S9,,"5.9 inches, 96.0 cm2(~70.0% screen-to-body ratio)",,162.4 x 84.4 x 8.6 mm (6.39 x 3.32 x 0.34 in),"GPS, GLONASS",https://fdn2.gsmarena.com/vv/bigpic/alcatel-pop-s9-new.jpg,,,"8 MP, AF","7050Y, 7050W",Android 4.3 (Jelly Bean),,8GB 1GB RAM,,"LED flash, panorama, HDR",HSDPA 850 / 900 / 2100
,About 140 EUR,microUSB 2.0,,,Micro-SIM,GSM / HSPA / LTE,162 g (5.71 oz),,"FM radio, RDS",,,"Li-Ion 3000 mAh, removable","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,,,,"Accelerometer, proximity, compass",,,,VGA,Quad-core 1.3 GHz,,,,,"2014, February. Released 2014, Q2",,Yes,Yes,,,"4.0, A2DP","Midnight Blue, Dark Chocolate, Dark Aubergine, White/ purple, green, red, orange, yellow back panels",,Up to 24 h (2G) / Up to 18 h (3G),"540 x 960 pixels, 16:9 ratio (~220 ppi density)",GSM 850 / 900 / 1800 / 1900,,"1, 3, 7, 8, 20 - 7045Y",,1080p@30fps,,,,alcatel,,Discontinued,IPS LCD,,,Yes,,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",Up to 480 h (2G) / Up to 360 h (3G),,microSDHC (dedicated slot),alcatel Pop S7,,"5.0 inches, 68.9 cm2(~67.9% screen-to-body ratio)",,141 x 72 x 9.4 mm (5.55 x 2.83 x 0.37 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-pop-s7-new.jpg,,,"5 MP, AF",7045Y,Android 4.4.2 (KitKat),,4GB 1GB RAM,,"LED flash, panorama, HDR",HSDPA 900 / 2100
"1, 2, 4, 7, 17 - 5050A",About 120 EUR,microUSB 2.0,,,Micro-SIM,GSM / HSPA / LTE,130 g (4.59 oz),,"FM radio, RDS",,,"Li-Ion 2000 mAh, removable","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,,"Accelerometer, proximity, compass",,,,VGA,Quad-core 1.2 GHz,,,,,"2014, February. Released 2014, Q2",,Yes,Yes,,,"4.0, A2DP","Midnight Blue, Dark  Chocolate, Dark Aubergine, White, Red,  Orange, Yellow, Green, Purple",,Up to 12 h,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",GSM 850 / 900 / 1800 / 1900,,"1, 3, 7, 8, 20 - 5050Y",,1080p@30fps,,,,alcatel,,Discontinued,TFT,,,Yes,,,"1, 3, 7, 8, 28 - 5050S",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",Up to 400 h,,microSDHC (dedicated slot),alcatel Pop S3,,"4.0 inches, 45.5 cm2(~57.5% screen-to-body ratio)",,123 x 64.4 x 9.9 mm (4.84 x 2.54 x 0.39 in),"GPS, GLONASS",https://fdn2.gsmarena.com/vv/bigpic/alcatel-pop-s3-new.jpg,,,"5 MP, AF","5050Y, 5050A, 5050S",Android 4.3 (Jelly Bean),,4GB 1GB RAM,,"LED flash, panorama, HDR",HSDPA 850 / 900 / 2100
MP3/AAC+/WAV playerMP4/H.264 playerPhoto viewerPredictive text input,About 80 EUR,microUSB 2.0,,No,No,No cellular connectivity,285 g (10.05 oz),No,No,,,"Li-Ion, non-removable",No,,,,,Accelerometer,,,,VGA,Dual-core 1.2 GHz,,,,,"2014, February. Released 2014, Q2",,No,Yes,,,TBD,Black,,,"540 x 960 pixels, 16:9 ratio (~157 ppi density)",N/A,,,,Yes,,,,alcatel,,Discontinued,TFT,,,Yes,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,microSDXC (dedicated slot),alcatel Fire 7,,"7.0 inches, 135.1 cm2",,-,TBD,https://fdn2.gsmarena.com/vv/bigpic/alcatel-fire-7-new.jpg,,,VGA,,Firefox OS 1.3,,,,,
MP3/AAC+/WAV playerMP4/H.264 playerPhoto viewerPredictive text input,,microUSB 2.0,,,Micro-SIM,GSM / HSPA / LTE,126 g (4.44 oz),,"FM radio, RDS",,,"Li-Ion 2000 mAh, removable","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,,"Accelerometer, proximity, compass",,,,2 MP,Quad-core 1.2 GHz,,,,,"2014, February",,Yes (6038Y model),Yes,,,"4.0, A2DP",Black,,,"540 x 960 pixels, 16:9 ratio (~245 ppi density)",GSM 850 / 900 / 1800 / 1900,,"1, 3, 7, 8, 20 - 6038X, 6038Y",,1080p@30fps,,,,alcatel,,Cancelled,IPS LCD,,,Yes,,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,,microSDHC (dedicated slot),alcatel Fire S,,"4.5 inches, 55.8 cm2(~67.9% screen-to-body ratio)",,129.5 x 63.5 x 8.5 mm (5.10 x 2.5 x 0.33 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-fire-s.jpg,,,"5 MP, AF",,"Firefox 2.0, upgradable to 2.1",Oleophobic coating,4GB 1GB RAM,,"LED flash, HDR",HSDPA 850 / 900 / 2100 - 6038Y
