,Charging,Display,Protection,Models,Loudspeaker,Talk time,SAR EU,Size,3G bands,4G bands,Loudspeaker_1,Features,Talk time_1,Status,Radio,Camera,Chipset,Brand,Type,Bluetooth,Type_1,Java,_3,Model Name,Price,Announced,Sensors,_4,NFC,USB,Dual_1,WLAN,GPU,EDGE,Internal,SAR,5G bands,Dimensions,Video,Single,_1,Card slot,Games,Battery (old),_5,Music play,Speed,Colors,Performance,Keyboard,Technology,Alert types,Infrared port,Features_1,Audio quality,256GB 8GB RAM,256GB 12GB RAM,Model Image,Positioning,Browser,Stand-by_1,Stand-by,2G bands,Dual,OS,SIM,_6,Phonebook,Weight,Single_1,Resolution,CPU,GPRS,_2,Messaging,Call records,Quad,Video_1,Triple,Build,3.5mm jack
eMMC 5.0,,"Contrast ratio: 1657 (nominal),  2.305 (sunlight)",Corning Gorilla Glass 4,"One E9PLUS dual sim, E9pw","Yes, with stereo speakers",Up to 21 h 30 min (2G) / Up to 14 h 20 min (3G),,"5.5 inches, 83.4 cm2(~69.7% screen-to-body ratio)",HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 7, 8, 28, 38, 39, 40, 41",Voice 61dB / Noise 62dB / Ring 66dB,"LED flash, panorama, HDR",,Discontinued,FM radio,Photo/Video,Mediatek MT6795M Helio X10 (28 nm),HTC,IPS LCD,"4.1, A2DP, aptX","Li-Po 2800 mAh, non-removable",,,HTC One E9+,About 320 EUR,"2015, March. Released 2015, May","Accelerometer, gyro, proximity, compass",,Yes,microUSB 2.0,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, DLNA, hotspot",PowerVR G6200,,32GB 3GB RAM,,,156.5 x 76.5 x 7.5 mm (6.16 x 3.01 x 0.30 in),4K@30fps,"20 MP, f/2.2, 28mm (wide), AF",,microSDXC (dedicated slot),,Endurance rating 59h,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Meteor Gray, Classic Rose Gold, Gold Sepia",Basemark OS II 2.0: 1227Basemark X: 9639,,GSM / HSPA / LTE,,,HDR,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-one-e9plus.jpg,"GPS, GLONASS, BDS",,,Up to 590 h (2G) / Up to 617 h (3G),GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"Android 5 (Lollipop), upgradable to 6 (Marshmallow), Sense UI 7",Nano-SIM + Nano-SIM,,,150 g (5.29 oz),"13 MP, f/2.0, 27mm (wide)or4 MP, f/2.0, 27mm (wide), 1/3"", 2µm","1440 x 2560 pixels, 16:9 ratio (~534 ppi density)",Octa-core 2.0 GHz Cortex-A53,,,,,,1080p@30fps,,,Yes
eMMC 5.0,,,To be disclosed,One E9 dual sim,"Yes, with stereo speakers",,,"5.5 inches, 83.4 cm2(~69.7% screen-to-body ratio)",HSDPA,LTE,,"LED flash, panorama, HDR",,Discontinued,FM radio,,Mediatek MT6795M Helio X10 (28 nm),HTC,IPS LCD,"4.1, A2DP, aptX","Li-Po 2800 mAh, non-removable",,,HTC One E9,About 320 EUR,"2015, May. Released 2015, May","Accelerometer, gyro, proximity, compass",,Yes,microUSB 2.0,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, DLNA, hotspot",PowerVR G6200,Yes,16GB 2GB RAM,,,156.5 x 76.5 x 7.5 mm (6.16 x 3.01 x 0.30 in),Yes,"13 MP, f/2.2, 28mm (wide), AF",,microSDXC (dedicated slot),,,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Black, White",,,GSM / HSPA / LTE,,,HDR,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-one-e9.jpg,"GPS, GLONASS, BDS",,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"Android 5 (Lollipop), upgradable to 6 (Marshmallow), Sense UI 7",Nano-SIM + Nano-SIM,,,147 g (5.19 oz),"4 MP, f/2.0, 27mm (wide), 1/3"", 2µm","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Octa-core 2.0 GHz Cortex-A53,Yes,,,,,1080p@30fps,,,Yes
eMMC 5.0,"18W wired, QC2","Contrast ratio: 1221:1 (nominal), 2.334 (sunlight)",Corning Gorilla Glass 3,"One M9, M9u, 0PJA2, HTC6535LVW, M9pw, M9, 0PJA10","Yes, with stereo speakers",Up to 25 h 20 min (2G) / Up to 21 h 50 min (3G),,"5.0 inches, 68.9 cm2(~68.4% screen-to-body ratio)",HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",Voice 65dB / Noise 64dB / Ring 76dB,"Dual-LED dual-tone flash, HDR, panorama",,Discontinued,"Stereo FM radio, RDS",Photo/Video,Qualcomm MSM8994 Snapdragon 810 (20 nm),HTC,Super LCD3,"4.1, A2DP, aptX","Li-Po 2840 mAh, non-removable",,,HTC One M9,About 360 EUR,"2015, March 01. Released 2015, March 09","Accelerometer, gyro, proximity, compass",,Yes,"microUSB 2.0 (MHL 3.0 TV-out), OTG",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot",Adreno 430,,32GB 3GB RAM,,,144.6 x 69.7 x 9.6 mm (5.69 x 2.74 x 0.38 in),"4K@30fps, 1080p@60fps, 720p@120fps, HDR, stereo sound rec.","20 MP, f/2.2, 28mm (wide), 1/2.4"", 1.2µm, AF",24-bit/192kHz audio,microSDXC (dedicated slot),,Endurance rating 62h,,,"HSPA 42.2/21.1 Mbps, LTE Cat6 300/50 Mbps","Gunmetal Gray, Amber Gold, Silver/Rose gold, Gold/Pink, Pink",Basemark OS II 2.0: 1365Basemark X: 19848,,GSM / HSPA / LTE,,Yes,HDR,Noise -94.8dB / Crosstalk -93.7dB,,,https://fdn2.gsmarena.com/vv/bigpic/htc-one-m9-1.jpg,"GPS, GLONASS",,,Up to 391 h (2G) / Up to 402 h (3G),GSM 850 / 900 / 1800 / 1900,,"Android 5.0 (Lollipop), upgradable to 7.0 (Nougat), Sense UI 7",Nano-SIM,,,157 g (5.54 oz),"4 MP, f/2.0, 27mm (wide), 1/3"", 2µm","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",Octa-core (4x1.5 GHz Cortex-A53 & 4x2.0 GHz Cortex-A57),,,,,,1080p@30fps,,"Glass front (Gorilla Glass 3), aluminum back, aluminum frame",Yes
TD-SCDMA,,,,"Desire 820s dual sim, Desire 820ts, D820ys","Yes, with stereo speakers",Up to 12 h 10 min (3G),,"5.5 inches, 83.4 cm2(~67.2% screen-to-body ratio)",HSDPA 850 / 900 / 1900 / 2100,"1, 3, 7, 8, 38, 39, 40, 41",,"LED flash, HDR, panorama",,Discontinued,FM radio,,Mediatek MT6752 (28 nm),HTC,"IPS LCD,","4.0, A2DP","Li-Po 2600 mAh, non-removable",,,HTC Desire 820s dual sim,About 370 EUR,"2015, March. Released 2015, March","Accelerometer, proximity, compass",,No,microUSB 2.0,,"Wi-Fi 802.11 b/g/n, hotspot",Mali-T760MP2,,16GB 2GB RAM,,,157.7 x 78.7 x 7.7 mm (6.21 x 3.10 x 0.30 in),1080p@30fps,"13 MP, AF",,microSDHC (dedicated slot),,,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Marble White, Milkyway Gray, Monarch Orange, Santorini White, Tuxedo Gray",,,GSM / HSPA / LTE,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-820q.jpg,"GPS, GLONASS",,,Up to 560 h (3G),GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"Android 4.4.4 (KitKat), Sense UI 6",Nano-SIM + Nano-SIM,,,155 g (5.47 oz),8 MP,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Octa-core 1.7 GHz Cortex-A53,,,,,,1080p@30fps,,,Yes
,,,,"Desire 626GPLUS dual, Desire_626GPLUS_dual",Yes,Up to 22 h 40 min (2G) / Up to 12 h 40 min (3G),,"5.0 inches, 68.9 cm2(~66.2% screen-to-body ratio)",HSDPA 850 / 900 / 2100 - SIM 1 & SIM 2,,,"LED flash, panorama",,Discontinued,FM radio,,Mediatek MT6592 (28 nm),HTC,"IPS LCD,","4.0, A2DP, aptX","Li-Po 2000 mAh, non-removable",,,HTC Desire 626G+,About 250 EUR,"2015, April. Released 2015, April","Accelerometer, proximity, compass",,No,microUSB 2.0,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot",Mali-450MP4,,8GB 1GB RAM,,,146.9 x 70.9 x 8.2 mm (5.78 x 2.79 x 0.32 in),1080p@30fps,"13 MP, f/2.2, 28mm (wide), AF",,microSDHC (dedicated slot),,,,,HSPA 21.1/5.76 Mbps,"White Birch, Purple Fire, Blue Lagoon",,,GSM / HSPA,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-626g-plus.jpg,GPS,,,Up to 521 h (2G) / Up to 458 h (3G),GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,Android 4.4.2 (KitKat),Nano-SIM + Nano-SIM,,,138 g (4.87 oz),"5 MP, f/2.8, 34mm (standard)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Octa-core 1.7 GHz Cortex-A7,,,,,,1080p@30fps,,,Yes
eMMC 4.5,,,,"Desire 626 dual sim, D626q, Desire 626, D626ph, D626x, D626w",Yes,Up to 20 h 30 min (2G) / Up to 30 h (3G),,"5.0 inches, 68.9 cm2(~66.2% screen-to-body ratio)",HSDPA 850 / 900 / 2100,"1, 3, 5, 7, 8, 28",,"LED flash, panorama",,Discontinued,FM radio,,Mediatek MT6752Qualcomm Snapdragon 410 (28 nm),HTC,"IPS LCD,","4.0, A2DP, aptX","Li-Ion 2000 mAh, non-removable",,,HTC Desire 626,About 180 EUR,"2014, February. Released 2015, March","Accelerometer, proximity, compass",,No,microUSB 2.0,,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",Mali-T760MP2Adreno 306,,"16GB 1GB RAM, 16GB 2GB RAM",,,146.9 x 70.9 x 8.2 mm (5.78 x 2.79 x 0.32 in),1080p@30fps,"13 MP, f/2.2, AF",,microSDHC (dedicated slot),,,,,"HSPA, LTE","Black, White",,,GSM / HSPA / LTE,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-626.jpg,GPS,,,Up to 800 h (2G) / Up to 761 h (3G),GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,Android 4.4.4 (KitKat),Nano-SIMNano-SIM + Nano-SIM,,,140 g (4.94 oz),5 MP,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Octa-core 1.7 GHz Cortex-A53Quad-core 1.2 GHz Cortex-A53,,,,,,1080p@30fps,,,Yes
,,,,"Desire 526GPLUS dual, Desire 526G dual sim, Desire_526G_dual_sim, D526h",Yes,Up to 15 h (3G),,"4.7 inches, 60.9 cm2(~62.4% screen-to-body ratio)",HSDPA 900 / 2100,,,LED flash,,Discontinued,FM radio,,,HTC,"IPS LCD,","4.0, A2DP, aptX","Li-Ion 2000 mAh, removable",,,HTC Desire 526G+ dual sim,About 160 EUR,"2015, January. Released 2015, January","Accelerometer, proximity",,No,microUSB 2.0,,"Wi-Fi 802.11 b/g/n, hotspot",,,"8GB 1GB RAM, 16GB 1GB RAM",,,139.8 x 69.8 x 9.9 mm (5.50 x 2.75 x 0.39 in),1080p@30fps,"8 MP, f/2.2, AF",,microSDHC (dedicated slot),,,,,HSPA 21.1/5.76 Mbps,"Glacier blue, Stealth black, Lacquer black, Fervor red - 526G+Glacier blue, Stealth black - 526G",,,GSM / HSPA,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-526Gplus-dual-sim.jpg,GPS,,,Up to 622 h (3G),GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,Android 4.4.2 (KitKat),"Dual SIM (Micro-SIM, dual stand-by)",,,154 g (5.43 oz),2 MP,"540 x 960 pixels, 16:9 ratio (~234 ppi density)",Octa-core 1.7 GHz - 526G+ modelQuad-core 1.3 GHz - 526G model,,,,,,720p,,,Yes
"TD-SCDMA - HK, India",,,,"Desire 826 dual sim, D826y","Yes, with stereo speakers",Up to 22 h (2G) / Up to 19 h (3G),,"5.5 inches, 83.4 cm2(~68.1% screen-to-body ratio)",HSDPA 850 / 900 / 1900 / 2100,"1, 3, 7, 8, 38, 39, 40, 41 - HK, India",,"LED flash, HDR",,Discontinued,FM radio,,Qualcomm MSM8939 Snapdragon 615 (28 nm),HTC,Super LCD3,"4.1, A2DP, aptX","Li-Po 2600 mAh, non-removable",,,HTC Desire 826 dual sim,About 200 EUR,"2015, January. Released 2015, March","Accelerometer, proximity, compass",,No,microUSB 2.0,,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, DLNA, hotspot",Adreno 405,,16GB 2GB RAM,,,158 x 77.5 x 8 mm (6.22 x 3.05 x 0.31 in),"1080p@30fps, 720p@60fps","13 MP, f/2.2, AF",eMMC 4.5,microSDXC (dedicated slot),,,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","White Birch, Blue Lagoon, Marshmallow White, Dark Grey, Purple Fire",,,GSM / HSPA / LTE,,,HDR,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-826r.jpg,"GPS, GLONASS/ BDS (market dependant)",,,Up to 626 h (2G) / Up to 687 h (3G),GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"Android 5.0.1 (Lollipop), upgradable to 6.0.1 (Marshmallow), Sense UI",Nano-SIM + Nano-SIM,,,183 g (6.46 oz),"4 MP, f/2.0, 27mm (wide), 1/3"", 2µm (HK model)13 MP (India model)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Octa-core (4x1.7 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),,,,,,1080p@30fps,,,Yes
HSDPA 900 / 2100 - EU,,,,,Yes,Up to 12 h (3G),,"4.5 inches, 55.8 cm2(~62.4% screen-to-body ratio)",HSDPA 850 / 1900 - North America,,,LED flash,,Discontinued,FM radio (EU model only),,,HTC,TFT,"4.0, A2DP","Li-Ion 2100 mAh, removable",,,HTC Desire 320,About 80 EUR,"2015, January. Released 2015, January",Accelerometer,,No,microUSB 2.0,,"Wi-Fi 802.11 b/g/n, hotspot",,,"4GB 512MB (NA), 8GB 1GB RAM (EU)",,,132 x 67.8 x 10.5 mm (5.20 x 2.67 x 0.41 in),1080p@30fps,"5 MP or 8 MP, AF",,microSDHC (dedicated slot),,,,,HSPA 21.1/5.76 Mbps,"Meridian Gray, White",,,GSM / HSPA,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-320.jpg,GPS,,,Up to 690 h (3G),GSM 850 / 900 / 1800 / 1900,,Android 4.4.2 (KitKat),Micro-SIM,,,145 g (5.11 oz),VGA,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",Quad-core 1.3 GHz,,,,,,,,,Yes
,,,,"Desire 620G dual sim, Desire_620G_dual_sim","Yes, with stereo speakers",Up to 19 h (3G),,"5.0 inches, 68.9 cm2(~63.2% screen-to-body ratio)",HSDPA 900 / 2100,,,"LED flash, panorama",,Discontinued,FM radio,,Mediatek MT6592 (28 nm),HTC,Super LCD,"4.0, A2DP, aptX","Li-Po 2100 mAh, removable",,,HTC Desire 620G dual sim,About 190 EUR,"2014, December. Released 2014, December","Accelerometer, proximity",,No,microUSB 2.0,,"Wi-Fi 802.11 b/g/n, hotspot",Mali-450MP4,,8GB 1GB RAM,,,150.1 x 72.7 x 9.6 mm (5.91 x 2.86 x 0.38 in),1080p@30fps,"8 MP, f/2.4, AF",,microSDHC (dedicated slot),,,,,HSPA 21.1/5.76 Mbps,"Marble White, Milkyway Gray, Saffron Gray, Santorini White, Tangerine White, Tuxedo Gray",,,GSM / HSPA,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-620g.jpg,"GPS, GLONASS",,,Up to 525 h (3G),GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"Android 4.4.4 (KitKat), Sense UI","Dual SIM (Micro-SIM, dual stand-by)",,,160 g (5.64 oz),5 MP,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Octa-core 1.7 GHz Cortex-A7,,,,,,1080p@30fps,,,Yes
HSDPA 850 / 900 / 2100 - Sweden,,,,D620h,"Yes, with stereo speakers",Up to 20 h (3G),,"5.0 inches, 68.9 cm2(~63.2% screen-to-body ratio)",HSDPA 850 / 900 / 1900 / 2100,"1, 3, 7, 8, 38, 39, 40, 41",,"LED flash, panorama",,Discontinued,FM radio,,Qualcomm MSM8916 Snapdragon 410 (28 nm),HTC,Super LCD,"4.0, A2DP, aptX","Li-Po 2100 mAh, removable",,,HTC Desire 620,About 180 EUR,"2014, December. Released 2014, December","Accelerometer, proximity",,No,microUSB 2.0,,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",Adreno 306,,8GB 1GB RAM,,,150.1 x 72.7 x 9.6 mm (5.91 x 2.86 x 0.38 in),1080p@30fps,"8 MP, f/2.4, AF","3, 7, 8, 20 - Sweden",microSDXC (dedicated slot),,,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Blue, Black, Gray, White",,,GSM / HSPA / LTE,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-620.jpg,"GPS, GLONASS",,,Up to 525 h (3G),GSM 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,"Android 4.4.4 (KitKat), Sense UI","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",,,160 g (5.64 oz),5 MP,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Quad-core 1.2 GHz Cortex-A53,,eMMC 4.5,,,,1080p@30fps,,,Yes
"2, 3, 5, 6, 13 - T-Mobile",,,Corning Gorilla Glass 3,,"Yes, with stereo speakers",Up to 9 h 30 min (multimedia) (3G),,"8.9 inches, 257.7 cm2(~73.5% screen-to-body ratio)",HSDPA 850 / 900 / 1700 / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 20",,LED flash,,Discontinued,No,Photo/Video,Nvidia Tegra K1,HTC,IPS LCD,"4.1, A2DP, aptX","Li-Po 6700 mAh, non-removable",,,HTC Nexus 9,About 300 EUR,"2014, October. Released 2014, November","Accelerometer, gyro, compass",,Yes,microUSB 2.0,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot",Kepler DX1,,"16GB (Wi-Fi)/ 32GB (LTE), 2GB RAM",,,228.2 x 153.7 x 8 mm (8.98 x 6.05 x 0.31 in),"1080p@30fps, stereo sound rec.","8 MP, AF",,No,,,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps - cellular model only","Indigo Black, Lunar White, Sand",Basemark OS II 2.0: 1540Basemark X: 28244,,GSM / HSPA / LTE,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-nexus-9.jpg,"GPS, GLONASS - cellular model only",,,Up to 720 h (3G),GSM 850 / 900 / 1800 / 1900,,"Android 5.0 (Lollipop), upgradable to 7.1.1 (Nougat)",Nano-SIM (cellular model only),,,425 g (Wi-Fi) / 436 g (3G/LTE) (14.99 oz),1.6 MP,"1536 x 2048 pixels, 4:3 ratio (~281 ppi density)",Dual-core 2.3 GHz Denver,,,,,,720p,,,Yes
,,,,"Desire 816G dual sim, Desire 816, Desire_816G_dual_sim, D816h","Yes, with stereo speakers",Up to 10 h (3G),,"5.5 inches, 83.4 cm2(~67.7% screen-to-body ratio)",HSDPA 900 / 2100,,,"LED flash, HDR",,Discontinued,FM radio,,Mediatek MT6582 - India model,HTC,Super LCD2,"4.0, A2DP, aptX","Li-Po 2600 mAh, non-removable",,,HTC Desire 816G dual sim,About 260 EUR,"2014, September. Released 2014, October","Accelerometer, proximity, compass",,No,microUSB 2.0,,"Wi-Fi 802.11 b/g/n, hotspot",Mali-400MP2 - India model,,"8GB (IN), 16GB (SEA), 1GB RAM",0.33 W/kg (head)     0.24 W/kg (body),,156.6 x 78.7 x 8 mm (6.17 x 3.10 x 0.31 in),"1080p@30fps, 720p@60fps","13 MP, f/2.2, AF",,microSDHC (dedicated slot),,,,,HSPA 21.1/5.76 Mbps,"Black, White",,,GSM / HSPA,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-816-dual-sim1.jpg,"GPS, GLONASS",,,Up to 460 h (3G),GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"Android 4.4.2 (KitKat), Sense UI 6",Nano-SIM + Nano-SIM,,,158 g (5.57 oz),5 MP,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Quad-core 1.3 GHz Cortex-A7 - India modelOcta-core 1.7 GHz - SEA model,,,,,,1080p@30fps,,,Yes
"1, 3, 7, 8, 28 - Asia",,,,One_M8 Eye,"Yes, with stereo speakers",Up to 24 h (3G),,"5.0 inches, 68.9 cm2(~66.7% screen-to-body ratio)","HSDPA 850 / 900 / 1900 / 2100 - EMEA, Asia","3, 7, 8, 20 - EMEA",,"Dual-LED dual-tone flash, HDR, panorama",,Discontinued,FM radio,,Qualcomm Snapdragon 801 (28 nm),HTC,Super LCD3,"4.0, A2DP, aptX","Li-Po 2600 mAh, non-removable",,,HTC One (M8 Eye),About 260 EUR,"2014, October. Released 2014, October","Accelerometer, gyro, proximity, compass",,No,microUSB 2.0,,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, DLNA, hotspot",Adreno 330,,16GB 2GB RAM,,,146.4 x 70.6 x 9.4 mm (5.76 x 2.78 x 0.37 in),"1080p@60fps, 720p@120fps, HDR, stereo sound rec.","13 MP, f/2.0, 28mm (wide), AF2 MP, (depth)",eMMC 5.0,microSDXC (dedicated slot),,,,,"HSPA, LTE","Gunmetal Gray, Glacial Silver, Amber Gold",,,GSM / HSPA / LTE,,,HDR,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-one-m8.jpg,"GPS, GLONASS",,,Up to 310 h (3G),GSM 850 / 900 / 1800 / 1900,,"Android 4.4.4 (KitKat), upgradable to 6.1 (Marshmallow), Sense UI 7",Nano-SIM,,,160 g (5.64 oz),5 MP,"1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",Quad-core 2.3 GHz Krait 400,,,,,,1080p@30fps,,,Yes
HSDPA 850 / 1700 / 1900 / 2100 - AT&T,"18W wired, QC2","Contrast ratio: 1311 (nominal), 2.815 (sunlight)",Corning Gorilla Glass 3,"Desire EYE, M910x, Desire_EYE","Yes, with stereo speakers",Up to 20 h (3G),,"5.2 inches, 74.5 cm2(~66.6% screen-to-body ratio)",HSDPA 850 / 900 / 1900 / 2100 - Asia,"1, 3, 7, 8, 28, 38, 39, 40, 41 - Asia",Voice 65dB / Noise 65dB / Ring 74dB,"Dual-LED dual-tone flash, panorama, HDR",,Discontinued,"FM radio, RDS",Photo/Video,Qualcomm Snapdragon 801 (28 nm),HTC,"IPS LCD,","4.0, A2DP, aptX","Li-Po 2400 mAh, non-removable",,"2, 4, 5, 17, 29 - AT&T",HTC Desire Eye,About 380 EUR,"2014, October. Released 2014, November","Accelerometer, gyro, proximity, compass","3, 7, 8, 20 - EMEA",Yes,microUSB 2.0,,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, DLNA, hotspot",Adreno 330,,16GB 2GB RAM,,,151.7 x 73.8 x 8.5 mm (5.97 x 2.91 x 0.33 in),1080p@30fps,"13 MP, f/2.0, 28mm (wide), AF",HSDPA 850 / 900 / 2100 - EMEA,microSDXC (dedicated slot),,Endurance rating 70h,IPX7 dust proof and water resistant up to 1 meter and 30 minutes,,"HSPA 42.2/21.1(AT&T)/5.76 Mbps, LTE Cat4 150/50 Mbps","Blue, Red, White",Basemark X: 10249,,GSM / HSPA / LTE,,,"Dual-LED dual-tone flash, HDR",Noise -95.6dB / Crosstalk -91.3dB,,,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-eye-ofic1.jpg,"GPS, GLONASS",,,Up to 538 h (3G),GSM 850 / 900 / 1800 / 1900 - all versions,,"Android 4.4.4 (KitKat), upgradable to 6.1 (Marshmallow), Sense UI 7",Nano-SIM,eMMC 5.0,,154 g (5.43 oz),"13 MP, f/2.2, 22mm (wide), AF","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",Quad-core 2.3 GHz Krait 400,,TD-SCDMA - Asia,,,,,,,Yes
CDMA 800 / 1900,,,,,"Yes, with stereo speakers",Up to 16 h 10 min (3G),,"4.7 inches, 60.9 cm2(~60.2% screen-to-body ratio)",CDMA2000 1xEV-DO,"4, 13",,"LED flash, HDR",,Discontinued,No,,Qualcomm Snapdragon 400 (28 nm),HTC,Super LCD2,"4.0, A2DP, aptX","Li-Po 2040 mAh, non-removable",,,HTC Desire 612,About 240 EUR,"2014, October. Released 2014, October","Accelerometer, proximity",,TBC,microUSB 2.0,,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",Adreno 305,,8GB 1GB RAM,,,143.8 x 70.4 x 9.4 mm (5.66 x 2.77 x 0.37 in),1080p@30fps,"8 MP, AF",eMMC 4.5,microSDXC (dedicated slot),,,,,"HSPA, LTE",Black,,,GSM / CDMA / EVDO / LTE,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-612.jpg,"GPS, GLONASS",,,Up to 484 h (3G),GSM 850 / 900 / 1800 / 1900,,"Android 4.4.2 (KitKat), Sense UI 5.5",Nano-SIM,,,146 g (5.15 oz),1.3 MP,"540 x 960 pixels, 16:9 ratio (~234 ppi density)",Quad-core 1.2 GHz Cortex-A7,,BoomSound dual front stereo speakers,,,,720p,,,Yes
eMMC 4.5,,,Corning Gorilla Glass 3,,"Yes, with stereo speakers",,,"5.5 inches, 83.4 cm2(~67.2% screen-to-body ratio)",HSDPA 850 / 900 / 1900 / 2100,"1, 3, 7, 8, 38, 39, 40, 41",,"LED flash, HDR",,Discontinued,FM radio,,Qualcomm MSM8916 Snapdragon 410 (28 nm),HTC,TFT,"4.0, A2DP, aptX","Li-Po 2600 mAh, non-removable",,,HTC Desire 820q dual sim,About 260 EUR,"2014, October. Released 2014, October","Accelerometer, proximity, compass",,No,microUSB 2.0,,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, DLNA, hotspot",Adreno 306,,16GB 1GB RAM,,,157.7 x 78.7 x 7.7 mm (6.21 x 3.10 x 0.30 in),"1080p@30fps, 720p@60fps","13 MP, AF",,microSDXC (dedicated slot),,,,,"HSPA, LTE","Santorini White, Tuxedo Gray, Milky-way Gray",,,GSM / HSPA / LTE,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-820q.jpg,"GPS, GLONASS",,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"Android 4.4.2 (KitKat), Sense UI 6",Nano-SIM + Nano-SIM,,,155 g (5.47 oz),8 MP,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Quad-core 1.2 GHz Cortex-A53,,,,,,1080p@30fps,,,Yes
